"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","77","%","15729"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","77","%","1983"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","68","%","2021"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","73","%","6397"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","70","%","7464"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","68","%","2576"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","73","%","3154"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","77","%","13129"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","69","%","8362"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","73","%","2941"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","76","%","2098"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","71","%","7551"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","75","%","7332"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","75","%","3304"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","71","%","3019"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","74","%","8112"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","71","%","8688"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","78","%","386"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","76","%","8750"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","75","%","4168"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Islington","E09000019","79","%","1811"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Barnet","E09000003","82","%","3782"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Ealing","E09000009","81","%","3903"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","City of London","E09000001","92","%","26"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Barking and Dagenham","E09000002","81","%","3166"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Redbridge","E09000026","81","%","3763"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Merton","E09000024","81","%","2059"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Waltham Forest","E09000031","80","%","3164"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Greenwich","E09000011","82","%","3130"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hounslow","E09000018","81","%","2888"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Lewisham","E09000023","74","%","3277"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Bromley","E09000006","86","%","3436"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","83","%","2914"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Haringey","E09000014","79","%","2827"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Richmond upon Thames","E09000027","87","%","2064"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Enfield","E09000010","75","%","4281"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Southwark","E09000028","79","%","2999"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hillingdon","E09000017","80","%","3563"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Wandsworth","E09000032","80","%","2278"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Brent","E09000005","78","%","3563"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Croydon","E09000008","78","%","4173"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Havering","E09000016","83","%","2796"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Camden","E09000007","82","%","1472"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hackney","E09000012","83","%","2494"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Tower Hamlets","E09000030","81","%","3198"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Kingston upon Thames","E09000021","82","%","1620"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Westminster","E09000033","84","%","1435"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Harrow","E09000015","85","%","2717"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Sutton","E09000029","84","%","2100"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Kensington and Chelsea","E09000020","89","%","928"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Newham","E09000025","83","%","4352"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Bexley","E09000004","77","%","2972"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hammersmith and Fulham","E09000013","86","%","1276"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Gateshead","E08000037","80","%","1994"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","South Tyneside","E08000023","79","%","1572"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","North Tyneside","E08000022","78","%","2328"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","County Durham","E06000047","78","%","5425"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Northumberland","E06000057","73","%","3345"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Newcastle upon Tyne","E08000021","79","%","2729"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Sunderland","E08000024","80","%","3067"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Hartlepool","E06000001","81","%","1149"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Stockton-on-Tees","E06000004","78","%","2339"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Darlington","E06000005","78","%","1268"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Redcar and Cleveland","E06000003","83","%","1622"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Middlesbrough","E06000002","76","%","1792"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Blackburn with Darwen","E06000008","76","%","2045"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cumbria","E10000006","74","%","5040"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Manchester","E08000003","75","%","6321"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Trafford","E08000009","83","%","2857"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Sefton","E08000014","80","%","2924"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire West and Chester","E06000050","74","%","3643"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Oldham","E08000004","74","%","3295"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Salford","E08000006","75","%","2672"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Blackpool","E06000009","78","%","1546"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Tameside","E08000008","74","%","2745"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","St. Helens","E08000013","73","%","2009"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Warrington","E06000007","84","%","2397"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Knowsley","E08000011","74","%","1843"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wigan","E08000010","79","%","3623"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Stockport","E08000007","77","%","3270"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Rochdale","E08000005","71","%","2742"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wirral","E08000015","71","%","3651"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire East","E06000049","77","%","3904"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Halton","E06000006","70","%","1580"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bury","E08000002","79","%","2233"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Liverpool","E08000012","73","%","4825"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bolton","E08000001","76","%","3675"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Lancashire","E10000017","76","%","13188"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Windsor and Maidenhead","E06000040","76","%","1462"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Medway","E06000035","71","%","3266"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Isle of Wight","E06000046","69","%","1344"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Milton Keynes","E06000042","76","%","3385"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Buckinghamshire","E10000002","76","%","5754"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Bracknell Forest","E06000036","71","%","1277"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","West Sussex","E10000032","71","%","8578"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Surrey","E10000030","79","%","11395"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Wokingham","E06000041","82","%","1926"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Oxfordshire","E10000025","76","%","6923"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","East Sussex","E10000011","70","%","5246"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Kent","E10000016","76","%","16553"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Hampshire","E10000014","77","%","14042"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Slough","E06000039","77","%","2113"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Southampton","E06000045","75","%","2437"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Brighton and Hove","E06000043","75","%","2515"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","West Berkshire","E06000037","73","%","1724"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Reading","E06000038","73","%","1574"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South East","Portsmouth","E06000044","71","%","2039"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Bournemouth","E06000028","77","%","1577"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Somerset","E10000027","72","%","5622"
