"Title","Reading attainments for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"","All","Asian","Black","Chinese","Mixed","White"
"Ethnicity","%","%","%","%","%","%"
"County Durham","70","80","!","81","72","70"
"Darlington","69","73","!","!","76","68"
"Gateshead","72","65","80","!","73","72"
"Hartlepool","66","62","!","50","73","66"
"Middlesbrough","62","56","71","!","66","63"
"Newcastle upon Tyne","68","65","53","60","71","69"
"North Tyneside","70","64","57","100","64","70"
"Northumberland","67","61","!","!","63","67"
"Redcar and Cleveland","72","72","!","!","82","72"
"South Tyneside","68","71","!","!","70","68"
"Stockton-on-Tees","66","57","78","100","76","65"
"Sunderland","71","63","77","43","63","71"
"Blackburn with Darwen","62","60","70","!","68","64"
"Blackpool","61","73","!","!","70","60"
"Bolton","65","66","56","!","70","65"
"Bury","66","56","49","70","66","68"
"Cheshire East","71","81","!","58","69","71"
"Cheshire West and Chester","69","59","69","!","76","69"
"Cumbria","68","76","57","71","76","68"
"Halton","63","!","!","!","66","64"
"Knowsley","62","74","50","!","74","61"
"Lancashire","65","57","54","82","69","66"
"Liverpool","61","64","57","73","61","62"
"Manchester","63","59","64","72","68","64"
"Oldham","59","50","51","!","66","65"
"Rochdale","62","55","55","!","55","65"
"Salford","66","73","56","!","71","67"
"Sefton","70","65","67","!","74","70"
"St. Helens","65","50","!","43","74","65"
"Stockport","69","62","37","79","73","70"
"Tameside","68","63","61","!","78","68"
"Trafford","77","73","79","88","78","77"
"Warrington","71","72","!","!","80","71"
"Wigan","69","62","62","!","68","70"
"Wirral","64","67","!","72","67","64"
"Barnsley","62","73","80","!","66","62"
"Bradford","57","54","57","!","62","59"
"Calderdale","65","59","58","!","75","66"
"Doncaster","56","49","63","58","60","56"
"East Riding of Yorkshire","66","83","!","!","58","66"
"Kingston upon Hull, City of","64","80","59","!","67","64"
"Kirklees","62","55","52","70","61","65"
"Leeds","61","56","50","58","64","63"
"North East Lincolnshire","59","63","!","!","69","59"
"North Lincolnshire","57","58","45","!","50","58"
"North Yorkshire","65","70","64","69","76","65"
"Rotherham","64","61","67","57","68","64"
"Sheffield","62","56","54","76","61","64"
"Wakefield","61","49","49","57","60","61"
"York","66","79","!","67","76","65"
"Derby","61","59","58","64","70","60"
"Derbyshire","66","61","79","71","68","66"
"Leicester","59","63","58","56","60","56"
"Leicestershire","65","68","66","76","66","65"
"Lincolnshire","64","72","58","100","65","64"
"Northamptonshire","63","58","56","63","61","64"
"Nottingham","61","62","63","76","60","62"
"Nottinghamshire","65","66","54","73","65","65"
"Rutland","71","!","!","!","75","71"
"Birmingham","59","58","55","81","62","61"
"Coventry","61","62","58","56","61","62"
"Dudley","62","61","57","50","64","62"
"Herefordshire, County of","68","!","!","!","68","68"
"Sandwell","61","63","55","!","62","61"
"Shropshire","68","70","!","!","76","68"
"Solihull","70","73","60","!","69","70"
"Staffordshire","67","61","53","63","64","67"
"Stoke-on-Trent","59","57","57","!","53","59"
"Telford and Wrekin","70","64","59","!","66","71"
"Walsall","61","61","61","!","64","60"
"Warwickshire","69","73","63","81","69","69"
"Wolverhampton","65","65","68","63","66","65"
"Worcestershire","64","62","58","!","69","64"
"Bedford","59","48","61","!","61","61"
"Cambridgeshire","66","72","53","58","74","66"
"Central Bedfordshire","65","66","59","47","72","65"
"Essex","67","76","66","78","69","67"
"Hertfordshire","72","76","69","83","73","72"
"Luton","56","52","55","!","63","60"
"Norfolk","64","75","53","64","67","64"
"Peterborough","55","54","56","57","55","55"
"Southend-on-Sea","67","68","58","!","67","67"
"Suffolk","63","59","69","!","64","63"
"Thurrock","63","63","73","!","61","60"
"Camden","72","70","64","!","71","78"
"City of London","!","!","100","!","!","100"
"Hackney","71","68","66","!","80","77"
"Hammersmith and Fulham","74","77","70","!","77","77"
"Haringey","64","61","56","57","74","69"
"Islington","68","66","63","!","67","72"
"Kensington and Chelsea","79","81","82","!","74","83"
"Lambeth","73","80","69","81","77","76"
"Lewisham","67","71","61","76","70","73"
"Newham","69","73","67","64","63","64"
"Southwark","67","72","65","76","66","73"
"Tower Hamlets","72","71","68","!","77","73"
"Wandsworth","70","68","60","64","71","78"
"Westminster","66","70","64","!","71","73"
"Barking and Dagenham","65","73","68","!","62","60"
"Barnet","73","74","65","84","73","76"
"Bexley","70","75","73","88","71","69"
"Brent","64","66","61","!","71","68"
"Bromley","79","90","77","87","80","78"
"Croydon","66","71","61","!","69","67"
"Ealing","65","62","61","!","72","71"
"Enfield","61","73","56","!","71","60"
"Greenwich","73","77","76","93","72","70"
"Harrow","72","75","61","!","72","73"
