"Title","Reading attainment for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"Gender","Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"Boys","All","62","16","102","-0.3"
"Boys","Asian","59","14","101","-0.4"
"Boys","Bangladeshi","61","12","101","0.1"
"Boys","Indian","67","19","103","-0.2"
"Boys","Pakistani","52","9","100","-0.9"
"Boys","Asian other","64","18","102","0.2"
"Boys","Black","58","11","101","-0.2"
"Boys","Black African","60","12","101","0.0"
"Boys","Black Caribbean","53","8","100","-0.9"
"Boys","Black other","56","9","100","-0.1"
"Boys","Chinese","71","29","104","0.9"
"Boys","Mixed","64","17","102","-0.1"
"Boys","Mixed White/Asian","70","23","104","0.4"
"Boys","Mixed White/Black African","62","15","102","-0.2"
"Boys","Mixed White/Black Caribbean","58","11","101","-0.9"
"Boys","Mixed other","65","19","103","0.3"
"Boys","White","63","17","102","-0.4"
"Boys","White British","64","17","102","-0.5"
"Boys","White Irish","72","27","104","1.7"
"Boys","White Irish Traveller","26","3","95","-2.4"
"Boys","White Gypsy/Roma","19","2","94","-1.7"
"Boys","White other","54","14","101","0.8"
"Boys","Any other","54","11","100","0.1"
"Boys","Unknown","52","14","101","-0.2"
"Girls","All","70","22","103","0.4"
"Girls","Asian","67","18","103","0.2"
"Girls","Bangladeshi","68","17","103","0.5"
"Girls","Indian","75","25","105","0.5"
"Girls","Pakistani","60","13","101","-0.3"
"Girls","Asian other","70","22","104","0.6"
"Girls","Black","66","15","102","0.4"
"Girls","Black African","68","17","103","0.6"
"Girls","Black Caribbean","63","13","101","-0.2"
"Girls","Black other","64","14","102","0.3"
"Girls","Chinese","79","36","106","1.8"
"Girls","Mixed","73","24","104","0.9"
"Girls","Mixed White/Asian","78","30","105","1.2"
"Girls","Mixed White/Black African","72","21","104","1.2"
"Girls","Mixed White/Black Caribbean","70","18","103","0.2"
"Girls","Mixed other","74","27","105","1.3"
"Girls","White","71","22","104","0.3"
"Girls","White British","72","23","104","0.2"
"Girls","White Irish","82","36","107","2.6"
"Girls","White Irish Traveller","31","6","97","-1.1"
"Girls","White Gypsy/Roma","23","3","95","-1.3"
"Girls","White other","60","19","102","1.7"
"Girls","Any other","62","15","102","0.9"
"Girls","Unknown","58","19","103","0.7"
