"Title","Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-05"
"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","19","%","586,177"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","19","%","441,663"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","406,144"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","31","%","1,701"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","5","%","434"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","2","%","1,993"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","16","%","31,391"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","21","%","30,591"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","15","%","8,607"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","3,900"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","27","%","7,029"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","23","%","11,055"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","16","%","62,121"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","22","%","15,794"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","11","%","26,156"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","10,196"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","9,975"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","13","%","34,426"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","10","%","7,506"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","22,468"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","4,452"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","33","%","2,173"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","13","%","10,324"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","16","%","4,879"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","16","%","299,318"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","17","%","225,639"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","207,438"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","27","%","864"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","3","%","231"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","2","%","1,043"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","14","%","16,063"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","17","%","15,569"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","11","%","4,341"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","1,983"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","23","%","3,650"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","5,595"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","14","%","31,791"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","19","%","8,137"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","13,389"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","5,158"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","18","%","5,107"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","11","%","17,442"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","8","%","3,845"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","11,328"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","2,269"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","29","%","1,072"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","11","%","5,245"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","14","%","2,560"
"% of pupils reaching the higher standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","22","%","286,859"
