"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","63","70","66","!","60","58"
"Barnet","69","73","61","89","69","71"
"Barnsley","59","79","43","N/A","64","59"
"Bath and North East Somerset","63","75","23","!","59","64"
"Bedford","53","52","47","!","54","54"
"Bexley","65","79","68","86","66","62"
"Birmingham","57","57","55","70","55","58"
"Blackburn with Darwen","60","61","50","!","55","59"
"Blackpool","62","66","!","!","67","62"
"Bolton","61","64","54","77","64","60"
"Bournemouth","63","77","71","!","68","62"
"Bracknell Forest","57","76","65","100","65","56"
"Bradford","57","59","49","67","54","55"
"Brent","61","63","56","!","61","64"
"Brighton and Hove","64","55","55","65","65","65"
"Bristol, City of","61","62","46","!","57","64"
"Bromley","76","86","75","88","77","75"
"Buckinghamshire","64","62","56","!","57","65"
"Bury","63","58","55","100","58","65"
"Calderdale","58","53","50","!","62","59"
"Cambridgeshire","59","59","44","81","61","59"
"Camden","67","66","59","!","66","70"
"Central Bedfordshire","58","68","61","67","55","58"
"Cheshire East","64","74","57","!","62","64"
"Cheshire West and Chester","59","74","50","!","58","59"
"City of London","88","!","!","N/A","!","!"
"Cornwall","59","52","!","63","66","58"
"County Durham","65","74","40","75","73","65"
"Coventry","58","65","54","100","57","57"
"Croydon","64","73","58","85","65","65"
"Cumbria","61","77","57","67","71","61"
"Darlington","61","72","!","!","68","60"
"Derby","55","55","53","!","57","55"
"Derbyshire","60","68","58","71","61","60"
"Devon","62","69","57","60","60","62"
"Doncaster","54","51","43","!","60","54"
"Dorset","57","56","57","77","62","57"
"Dudley","55","56","46","!","58","56"
"Ealing","65","64","60","!","64","71"
"East Riding of Yorkshire","61","75","!","100","68","61"
"East Sussex","57","65","53","!","62","57"
"Enfield","61","74","58","!","68","58"
"Essex","63","79","65","76","66","63"
"Gateshead","68","66","57","100","74","68"
"Gloucestershire","62","72","54","72","60","62"
"Greenwich","71","80","73","85","71","67"
"Hackney","72","75","67","80","74","75"
"Halton","56","!","!","!","68","56"
"Hammersmith and Fulham","74","72","72","!","76","74"
"Hampshire","66","78","69","82","68","65"
"Haringey","65","72","57","76","67","68"
"Harrow","70","76","61","!","71","67"
"Hartlepool","65","68","!","!","60","65"
"Havering","72","77","76","76","72","71"
"Herefordshire, County of","60","!","!","100","66","60"
"Hertfordshire","65","70","61","79","65","65"
"Hillingdon","64","71","58","100","66","60"
"Hounslow","66","72","61","!","68","62"
"Isle of Wight","55","69","!","!","59","55"
"Isles of Scilly","35","N/A","N/A","N/A","N/A","35"
"Islington","66","77","58","!","65","68"
"Kensington and Chelsea","76","71","74","100","73","78"
"Kent","65","79","71","73","68","64"
"Kingston upon Hull, City of","63","70","57","100","77","62"
"Kingston upon Thames","65","62","57","!","69","65"
"Kirklees","57","55","46","71","47","60"
"Knowsley","58","79","56","N/A","53","58"
"Lambeth","70","73","67","67","72","74"
"Lancashire","61","56","62","68","61","62"
"Leeds","56","53","49","79","53","57"
"Leicester","58","64","60","!","59","50"
"Leicestershire","62","66","62","77","59","61"
"Lewisham","62","70","56","80","66","66"
"Lincolnshire","57","81","66","84","68","56"
"Liverpool","58","65","57","83","58","57"
"Luton","55","54","55","100","59","56"
"Manchester","60","59","61","71","61","62"
"Medway","58","70","72","75","62","56"
"Merton","66","73","62","!","65","63"
"Middlesbrough","61","58","50","N/A","55","63"
"Milton Keynes","63","75","60","75","61","61"
"Newcastle upon Tyne","63","65","61","70","66","64"
"Newham","70","70","72","100","72","65"
"Norfolk","57","70","37","85","57","57"
"North East Lincolnshire","59","73","100","!","72","59"
"North Lincolnshire","59","69","38","!","67","59"
"North Somerset","59","28","33","100","64","59"
"North Tyneside","66","75","73","79","74","65"
"North Yorkshire","59","73","38","82","61","59"
"Northamptonshire","57","55","51","69","51","57"
"Northumberland","61","79","!","!","59","61"
"Nottingham","59","61","59","56","60","58"
"Nottinghamshire","62","62","53","85","61","62"
"Oldham","57","53","59","!","60","60"
"Oxfordshire","61","56","49","69","64","62"
"Peterborough","52","53","53","50","53","51"
"Plymouth","60","100","47","58","64","60"
"Poole","59","74","!","!","66","58"
"Portsmouth","57","67","60","!","65","56"
"Reading","59","63","57","!","54","60"
"Redbridge","67","70","55","78","68","65"
"Redcar and Cleveland","69","60","N/A","!","79","69"
"Richmond upon Thames","76","70","57","67","75","78"
"Rochdale","56","54","50","!","66","56"
"Rotherham","61","62","57","67","71","60"
"Rutland","67","!","!","!","69","66"
"Salford","61","76","63","!","56","62"
"Sandwell","58","64","51","100","57","55"
"Sefton","64","68","69","63","61","65"
"Sheffield","60","64","57","87","55","61"
"Shropshire","62","65","38","!","71","62"
"Slough","63","68","60","100","61","55"
"Solihull","65","72","64","!","57","64"
"Somerset","59","69","53","!","61","59"
"South Gloucestershire","60","78","51","!","56","60"
"South Tyneside","65","66","57","!","74","65"
"Southampton","62","67","69","!","66","61"
"Southend-on-Sea","66","80","76","!","73","64"
"Southwark","64","69","60","65","65","68"
"St. Helens","58","86","!","!","59","58"
"Staffordshire","63","61","64","70","66","63"
"Stockport","64","63","53","69","69","64"
"Stockton-on-Tees","64","61","65","!","79","64"
"Stoke-on-Trent","56","54","53","62","59","56"
"Suffolk","57","70","62","57","59","57"
"Sunderland","68","64","!","100","64","68"
"Surrey","67","73","62","76","71","67"
"Sutton","72","86","75","85","75","67"
"Swindon","62","68","62","57","60","62"
"Tameside","60","60","44","60","62","61"
"Telford and Wrekin","61","60","59","!","61","61"
"Thurrock","62","73","73","54","56","59"
"Torbay","60","69","!","!","60","59"
"Tower Hamlets","68","70","63","72","63","62"
"Trafford","72","76","63","86","72","71"
"Wakefield","57","48","51","45","57","57"
"Walsall","53","58","55","77","53","52"
"Waltham Forest","68","69","63","86","66","69"
"Wandsworth","69","66","60","!","64","77"
"Warrington","70","78","80","!","69","69"
"Warwickshire","62","75","54","83","64","61"
"West Berkshire","62","73","77","!","62","61"
"West Sussex","55","60","49","76","61","55"
"Westminster","68","70","67","100","65","73"
"Wigan","66","72","58","!","72","66"
"Wiltshire","59","81","33","79","61","59"
"Windsor and Maidenhead","66","69","58","!","64","67"
"Wirral","57","61","!","67","71","57"
