"Title","Reading, writing and maths attainment for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Expected standard","Higher standard"
"All","53","5"
"Asian","55","6"
"Bangladeshi","56","5"
"Indian","65","10"
"Pakistani","47","3"
"Asian other","61","9"
"Black","51","4"
"Black African","54","5"
"Black Caribbean","43","2"
"Black other","48","3"
"Chinese","71","18"
"Mixed","56","7"
"Mixed White/Asian","63","10"
"Mixed White/Black African","54","5"
"Mixed White/Black Caribbean","48","3"
"Mixed other","57","8"
"White","53","5"
"White British","54","5"
"White Irish","62","10"
"White Irish Traveller","19","!"
"White Gypsy/Roma","13","!"
"White other","48","5"
"Other","50","5"
