"Title","Writing attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","76","84","80","!","74","71"
"Barnet","79","84","73","91","79","81"
"Barnsley","76","!","57","N/A","86","76"
"Bath and North East Somerset","76","79","54","!","74","76"
"Bedford","71","72","69","!","72","71"
"Bexley","80","88","83","!","79","78"
"Birmingham","73","75","72","80","73","71"
"Blackburn with Darwen","76","79","64","!","76","75"
"Blackpool","77","76","!","!","86","77"
"Bolton","77","81","67","!","82","76"
"Bournemouth","80","93","!","100","80","79"
"Bracknell Forest","72","85","84","!","78","71"
"Bradford","74","78","69","67","70","72"
"Brent","75","78","73","!","73","77"
"Brighton and Hove","78","71","83","80","79","79"
"Bristol, City of","77","79","71","!","73","77"
"Bromley","84","90","83","!","87","84"
"Buckinghamshire","76","77","72","!","72","76"
"Bury","77","74","73","100","72","78"
"Calderdale","70","65","57","!","72","71"
"Cambridgeshire","73","72","62","93","75","73"
"Camden","78","78","75","!","78","78"
"Central Bedfordshire","74","81","81","!","74","74"
"Cheshire East","76","86","!","!","80","75"
"Cheshire West and Chester","74","82","63","!","78","74"
"City of London","92","!","!","N/A","!","!"
"Cornwall","76","78","!","!","84","76"
"County Durham","79","85","70","100","82","79"
"Coventry","77","84","78","100","75","75"
"Croydon","78","83","76","!","79","77"
"Cumbria","77","87","57","!","86","77"
"Darlington","76","90","!","!","89","75"
"Derby","73","77","78","!","76","71"
"Derbyshire","76","80","79","76","77","76"
"Devon","76","93","57","70","76","76"
"Doncaster","74","80","72","!","79","73"
"Dorset","72","72","!","77","77","72"
"Dudley","74","75","64","!","73","74"
"Ealing","78","80","73","100","76","81"
"East Riding of Yorkshire","78","!","!","!","82","78"
"East Sussex","75","77","67","!","81","75"
"Enfield","78","88","78","100","82","76"
"Essex","78","89","81","83","80","78"
"Gateshead","82","80","83","100","90","82"
"Gloucestershire","74","78","62","78","72","74"
"Greenwich","83","91","85","100","82","79"
"Hackney","85","89","83","!","87","85"
"Halton","72","!","!","!","82","72"
"Hammersmith and Fulham","81","78","81","!","84","79"
"Hampshire","81","91","83","87","83","80"
"Haringey","81","89","78","79","83","81"
"Harrow","83","88","75","!","84","79"
"Hartlepool","81","82","!","!","!","81"
"Havering","85","88","91","82","84","84"
"Herefordshire, County of","76","100","!","!","79","76"
"Hertfordshire","79","85","80","86","80","79"
"Hillingdon","78","85","73","!","80","75"
"Hounslow","82","86","77","!","85","78"
"Isle of Wight","72","77","!","!","78","72"
"Isles of Scilly","41","N/A","N/A","N/A","N/A","41"
"Islington","80","87","76","!","82","80"
"Kensington and Chelsea","86","81","81","100","87","86"
"Kent","81","92","84","87","85","80"
"Kingston upon Hull, City of","77","84","62","!","90","77"
"Kingston upon Thames","77","76","70","!","80","78"
"Kirklees","74","76","62","!","66","75"
"Knowsley","71","86","!","N/A","78","71"
"Lambeth","83","87","81","83","84","83"
"Lancashire","77","79","71","86","78","77"
"Leeds","70","72","67","88","67","71"
"Leicester","75","82","79","!","74","66"
"Leicestershire","77","84","78","86","79","77"
"Lewisham","78","86","77","89","81","76"
"Lincolnshire","73","95","86","84","85","73"
"Liverpool","71","78","72","88","75","71"
"Luton","72","71","74","!","78","72"
"Manchester","75","77","78","76","75","73"
"Medway","76","89","86","!","74","75"
"Merton","76","83","75","!","76","72"
"Middlesbrough","76","75","75","N/A","67","76"
"Milton Keynes","78","87","78","!","80","75"
"Newcastle upon Tyne","78","80","87","83","82","77"
"Newham","84","86","85","100","84","76"
"Norfolk","75","90","68","88","76","74"
"North East Lincolnshire","79","80","!","!","92","79"
"North Lincolnshire","78","90","54","!","86","78"
"North Somerset","76","88","75","100","78","76"
"North Tyneside","80","90","86","!","89","80"
"North Yorkshire","75","79","81","82","81","75"
"Northamptonshire","75","79","74","86","75","75"
"Northumberland","77","87","!","!","78","77"
"Nottingham","74","77","76","78","76","72"
"Nottinghamshire","78","79","68","91","76","78"
"Oldham","74","72","81","!","73","75"
"Oxfordshire","74","77","69","!","78","74"
"Peterborough","68","73","67","!","74","67"
"Plymouth","75","100","58","75","85","75"
"Poole","76","91","!","!","80","76"
"Portsmouth","74","83","85","33","77","73"
"Reading","76","81","78","!","71","76"
"Redbridge","81","84","76","78","82","79"
"Redcar and Cleveland","81","!","N/A","!","86","80"
"Richmond upon Thames","84","83","68","75","84","85"
"Rochdale","76","78","69","!","84","75"
"Rotherham","77","78","79","!","84","77"
"Rutland","80","100","!","!","!","79"
"Salford","77","94","76","!","76","77"
"Sandwell","75","82","71","!","75","72"
"Sefton","77","89","77","63","78","77"
"Sheffield","77","82","76","!","74","77"
"Shropshire","76","82","!","!","84","76"
"Slough","81","86","83","!","78","72"
"Solihull","78","85","73","!","72","77"
"Somerset","75","82","60","!","76","75"
"South Gloucestershire","78","88","76","100","75","78"
"South Tyneside","82","87","!","!","88","82"
"Southampton","78","82","82","!","78","78"
"Southend-on-Sea","79","88","90","!","82","78"
"Southwark","78","83","77","82","79","80"
"St. Helens","77","!","!","!","78","76"
"Staffordshire","78","82","79","83","78","78"
"Stockport","77","78","71","81","78","77"
"Stockton-on-Tees","80","86","85","!","89","79"
"Stoke-on-Trent","72","73","72","62","78","72"
"Suffolk","74","85","83","57","77","74"
"Sunderland","81","78","!","100","80","81"
"Surrey","79","84","73","84","83","78"
"Sutton","83","94","87","85","83","80"
"Swindon","77","82","80","!","76","76"
