"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Local authority","%"
"All","County Durham","78"
"All","Darlington","74"
"All","Gateshead","82"
"All","Hartlepool","76"
"All","Middlesbrough","69"
"All","Newcastle upon Tyne","78"
"All","North Tyneside","76"
"All","Northumberland","80"
"All","Redcar and Cleveland","79"
"All","South Tyneside","81"
"All","Stockton-on-Tees","76"
"All","Sunderland","80"
"All","Blackburn with Darwen","74"
"All","Blackpool","77"
"All","Bolton","77"
"All","Bury","74"
"All","Cheshire East","63"
"All","Cheshire West and Chester","69"
"All","Cumbria","70"
"All","Halton","66"
"All","Knowsley","68"
"All","Lancashire","77"
"All","Liverpool","63"
"All","Manchester","73"
"All","Oldham","69"
"All","Rochdale","73"
"All","Salford","80"
"All","Sefton","75"
"All","St. Helens","73"
"All","Stockport","76"
"All","Tameside","73"
"All","Trafford","81"
"All","Warrington","80"
"All","Wigan","77"
"All","Wirral","72"
"All","Barnsley","76"
"All","Bradford","74"
"All","Calderdale","59"
"All","Doncaster","73"
"All","East Riding of Yorkshire","76"
"All","Kingston upon Hull, City of","79"
"All","Kirklees","70"
"All","Leeds","67"
"All","North East Lincolnshire","80"
"All","North Lincolnshire","78"
"All","North Yorkshire","73"
"All","Rotherham","78"
"All","Sheffield","74"
"All","Wakefield","74"
"All","York","71"
"All","Derby","72"
"All","Derbyshire","75"
"All","Leicester","78"
"All","Leicestershire","74"
"All","Lincolnshire","73"
"All","Northamptonshire","72"
"All","Nottingham","72"
"All","Nottinghamshire","75"
"All","Rutland","74"
"All","Birmingham","69"
"All","Coventry","72"
"All","Dudley","73"
"All","Herefordshire, County of","74"
"All","Sandwell","73"
"All","Shropshire","68"
"All","Solihull","79"
"All","Staffordshire","74"
"All","Stoke-on-Trent","70"
"All","Telford and Wrekin","74"
"All","Walsall","77"
"All","Warwickshire","77"
"All","Wolverhampton","75"
"All","Worcestershire","70"
"All","Bedford","68"
"All","Cambridgeshire","72"
"All","Central Bedfordshire","77"
"All","Essex","76"
"All","Hertfordshire","79"
"All","Luton","70"
"All","Norfolk","77"
"All","Peterborough","72"
"All","Southend-on-Sea","79"
"All","Suffolk","71"
"All","Thurrock","76"
"All","Camden","76"
"All","City of London","!"
"All","Hackney","85"
"All","Hammersmith and Fulham","78"
"All","Haringey","82"
"All","Islington","80"
"All","Kensington and Chelsea","84"
"All","Lambeth","81"
"All","Lewisham","77"
"All","Newham","84"
"All","Southwark","80"
"All","Tower Hamlets","83"
"All","Wandsworth","79"
"All","Westminster","79"
"All","Barking and Dagenham","80"
"All","Barnet","73"
"All","Bexley","80"
"All","Brent","74"
"All","Bromley","81"
"All","Croydon","78"
"All","Ealing","74"
"All","Enfield","77"
"All","Greenwich","83"
"All","Harrow","77"
"All","Havering","84"
"All","Hillingdon","75"
"All","Hounslow","80"
"All","Kingston upon Thames","72"
"All","Merton","73"
"All","Redbridge","78"
"All","Richmond upon Thames","77"
"All","Sutton","83"
"All","Waltham Forest","81"
"All","Bracknell Forest","75"
"All","Brighton and Hove","76"
"All","Buckinghamshire","71"
"All","East Sussex","74"
"All","Hampshire","80"
"All","Isle of Wight","74"
"All","Kent","80"
"All","Medway","74"
"All","Milton Keynes","76"
"All","Oxfordshire","69"
"All","Portsmouth","73"
"All","Reading","77"
"All","Slough","79"
"All","Southampton","77"
"All","Surrey","76"
"All","West Berkshire","70"
"All","West Sussex","61"
"All","Windsor and Maidenhead","75"
"All","Wokingham","75"
"All","Bath and North East Somerset","71"
"All","Bournemouth","75"
"All","Bristol, City of","74"
"All","Cornwall","73"
"All","Devon","70"
"All","Dorset","60"
"All","Gloucestershire","70"
"All","Isles of Scilly","60"
"All","North Somerset","76"
"All","Plymouth","73"
"All","Poole","75"
"All","Somerset","74"
"All","South Gloucestershire","70"
"All","Swindon","60"
"All","Torbay","68"
"All","Wiltshire","74"
"Asian","County Durham","83"
"Asian","Darlington","79"
"Asian","Gateshead","73"
"Asian","Hartlepool","88"
"Asian","Middlesbrough","68"
"Asian","Newcastle upon Tyne","84"
"Asian","North Tyneside","73"
"Asian","Northumberland","83"
"Asian","Redcar and Cleveland","!"
"Asian","South Tyneside","89"
"Asian","Stockton-on-Tees","77"
"Asian","Sunderland","84"
"Asian","Blackburn with Darwen","75"
"Asian","Blackpool","87"
"Asian","Bolton","84"
"Asian","Bury","73"
"Asian","Cheshire East","76"
"Asian","Cheshire West and Chester","65"
"Asian","Cumbria","80"
"Asian","Halton","!"
"Asian","Knowsley","83"
"Asian","Lancashire","79"
"Asian","Liverpool","73"
"Asian","Manchester","72"
"Asian","Oldham","72"
"Asian","Rochdale","73"
"Asian","Salford","88"
"Asian","Sefton","81"
"Asian","St. Helens","70"
"Asian","Stockport","81"
"Asian","Tameside","76"
"Asian","Trafford","80"
"Asian","Warrington","85"
"Asian","Wigan","79"
"Asian","Wirral","80"
"Asian","Barnsley","!"
"Asian","Bradford","79"
"Asian","Calderdale","54"
"Asian","Doncaster","72"
"Asian","East Riding of Yorkshire","!"
"Asian","Kingston upon Hull, City of","93"
"Asian","Kirklees","70"
"Asian","Leeds","71"
"Asian","North East Lincolnshire","69"
"Asian","North Lincolnshire","86"
"Asian","North Yorkshire","83"
"Asian","Rotherham","78"
"Asian","Sheffield","75"
"Asian","Wakefield","74"
"Asian","York","83"
"Asian","Derby","76"
"Asian","Derbyshire","73"
"Asian","Leicester","82"
"Asian","Leicestershire","82"
"Asian","Lincolnshire","90"
"Asian","Northamptonshire","80"
"Asian","Nottingham","78"
"Asian","Nottinghamshire","75"
"Asian","Rutland","!"
"Asian","Birmingham","72"
"Asian","Coventry","77"
"Asian","Dudley","76"
"Asian","Herefordshire, County of","!"
"Asian","Sandwell","79"
"Asian","Shropshire","70"
"Asian","Solihull","81"
"Asian","Staffordshire","80"
"Asian","Stoke-on-Trent","66"
"Asian","Telford and Wrekin","70"
"Asian","Walsall","81"
"Asian","Warwickshire","87"
"Asian","Wolverhampton","78"
"Asian","Worcestershire","81"
"Asian","Bedford","78"
"Asian","Cambridgeshire","77"
"Asian","Central Bedfordshire","79"
"Asian","Essex","86"
"Asian","Hertfordshire","86"
"Asian","Luton","69"
"Asian","Norfolk","88"
"Asian","Peterborough","74"
"Asian","Southend-on-Sea","71"
"Asian","Suffolk","80"
"Asian","Thurrock","75"
"Asian","Camden","78"
