"Title","Students aged 16 to 18 achieving at least 3 A grades at A level by ethnicity"
"Location","England"
"Time period","2010/11 to 2015/16"
"Data source","A level attainment by pupil characteristics"
"Data source link","https://www.gov.uk/government/publications/a-level-attainment-by-pupil-characteristics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16/03/2017"

"","2011","","2012","","2013","","2014","","2015","","2016",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","13","!","13","!","13","!","12","!","12","!","13","!"
"Asian","9","1,936","10","2,045","10","2,181","9","1,982","9","2,136","10","2,127"
"Bangladeshi","6","147","6","165","6","177","5","167","6","216","6","212"
"Indian","12","1,064","13","1,090","14","1,144","13","1,063","13","1,122","14","1,052"
"Pakistani","6","375","6","413","6","426","6","384","6","403","7","416"
"Asian other","11","350","12","377","12","434","10","368","9","395","12","447"
"Black","4","358","4","343","4","407","4","400","4","459","5","449"
"Black African","4","255","4","253","5","304","5","319","4","331","5","345"
"Black Caribbean","3","72","3","63","3","74","2","55","4","88","3","62"
"Black other","4","31","3","27","3","29","3","26","3","40","5","42"
"Chinese","24","395","25","400","22","364","22","371","22","365","24","347"
"Mixed","11","714","11","794","11","817","11","854","9","855","11","887"
"Mixed White/Asian","15","255","16","301","16","305","15","310","14","323","14","305"
"Mixed White/Black African","9","63","11","76","8","61","7","64","8","84","9","75"
"Mixed White/Black Caribbean","6","102","6","99","6","112","5","104","5","116","7","125"
"Mixed other","12","294","11","318","11","339","12","376","10","332","12","382"
"White","!","!","10","17,831","!","!","!","!","9","16,084","11","15,137"
"White British","10","17,166","10","16,822","10","16,085","10","15,202","9","15,172","11","14,207"
"White Irish","12","112","13","138","15","149","12","120","11","113","15","136"
"White Irish Traveller","0","0","0","0","!","!","0","0","0","0","0","0"
"White Gypsy/Roma","!","!","0","0","!","!","!","!","9","3","0","0"
"White other","12","771","12","871","11","862","10","775","10","796","11","794"
"Other","10","262","10","281","10","297","9","286","9","298","11","331"
"Unknown","12","418","12","325","12","302","10","246","13","286","13","252"
"Unclassified","","","","","","","","","","","",""
"Unmatched","28","11,931","27","11,791","26","11,183","25","10,614","24","10,620","26","10,273"
