"Ethnicity","Geography name","%"
"Asian","Barking and Dagenham","4.5"
"Asian","Barnet","4.0"
"Asian","Barnsley","4.3"
"Asian","Bath and North East Somerset","4.7"
"Asian","Bedford","5.1"
"Asian","Bexley","3.6"
"Asian","Birmingham","5.0"
"Asian","Blackburn with Darwen","4.3"
"Asian","Blackpool","3.7"
"Asian","Bolton","3.9"
"Asian","Bournemouth","3.8"
"Asian","Bracknell Forest","3.5"
"Asian","Bradford","4.6"
"Asian","Brent","3.8"
"Asian","Brighton and Hove","4.6"
"Asian","Bristol, City of","5.3"
"Asian","Bromley","3.8"
"Asian","Buckinghamshire","5.2"
"Asian","Bury","5.7"
"Asian","Calderdale","4.5"
"Asian","Cambridgeshire","4.3"
"Asian","Camden","5.7"
"Asian","Central Bedfordshire","4.5"
"Asian","Cheshire East","4.2"
"Asian","Cheshire West and Chester","4.4"
"Asian","City of London","3.1"
"Asian","Cornwall","5.1"
"Asian","County Durham","3.9"
"Asian","Coventry","4.4"
"Asian","Croydon","4.0"
"Asian","Cumbria","4.8"
"Asian","Darlington","4.5"
"Asian","Derby","4.3"
"Asian","Derbyshire","4.4"
"Asian","Devon","4.7"
"Asian","Doncaster","4.3"
"Asian","Dorset","4.6"
"Asian","Dudley","4.1"
"Asian","Ealing","4.0"
"Asian","East Riding of Yorkshire","4.1"
"Asian","East Sussex","4.1"
"Asian","Enfield","4.5"
"Asian","Essex","3.8"
"Asian","Gateshead","4.7"
"Asian","Gloucestershire","4.2"
"Asian","Greenwich","4.1"
"Asian","Hackney","4.6"
"Asian","Halton","4.1"
"Asian","Hammersmith and Fulham","4.7"
"Asian","Hampshire","3.5"
"Asian","Haringey","4.9"
"Asian","Harrow","3.8"
"Asian","Hartlepool","5.0"
"Asian","Havering","4.5"
"Asian","Herefordshire, County of","4.2"
"Asian","Hertfordshire","4.4"
"Asian","Hillingdon","3.9"
"Asian","Hounslow","3.9"
"Asian","Isle of Wight","3.7"
"Asian","Isles of Scilly","!"
"Asian","Islington","5.0"
"Asian","Kensington and Chelsea","4.8"
"Asian","Kent","3.6"
"Asian","Kingston upon Hull, City of","4.6"
"Asian","Kingston upon Thames","4.0"
"Asian","Kirklees","5.1"
"Asian","Knowsley","3.2"
"Asian","Lambeth","4.9"
"Asian","Lancashire","4.7"
"Asian","Leeds","4.8"
"Asian","Leicester","4.1"
"Asian","Leicestershire","3.8"
"Asian","Lewisham","4.3"
"Asian","Lincolnshire","4.0"
"Asian","Liverpool","3.8"
"Asian","Luton","5.1"
"Asian","Manchester","4.4"
"Asian","Medway","3.9"
"Asian","Merton","4.0"
"Asian","Middlesbrough","4.5"
"Asian","Milton Keynes","4.5"
"Asian","Newcastle upon Tyne","4.5"
"Asian","Newham","4.3"
"Asian","Norfolk","4.2"
"Asian","North East Lincolnshire","4.9"
"Asian","North Lincolnshire","4.5"
"Asian","North Somerset","4.3"
"Asian","North Tyneside","4.9"
"Asian","North Yorkshire","4.4"
"Asian","Northamptonshire","4.1"
"Asian","Northumberland","4.3"
"Asian","Nottingham","4.4"
"Asian","Nottinghamshire","4.2"
"Asian","Oldham","4.9"
