"","Primary","","Secondary","","Special",""
"","%","Sessions","%","Sessions","%","Sessions"
"All","4.0","56,595,915","5.4","53,682,923","9.7","3,196,449"
"Asian","4.3","6,365,738","4.5","4,701,768","10.8","339,885"
"Bangladeshi","4.6","1,074,089","4.6","803,924","11.1","60,256"
"Indian","3.5","1,439,723","3.6","993,120","8.8","51,284"
"Pakistani","4.9","2,926,528","5.4","2,285,008","11.8","176,705"
"Asian other","3.7","925,398","3.7","619,716","9.6","51,640"
"Black","3.0","2,378,238","3.8","2,089,621","7.7","176,956"
"Black African","2.6","1,396,893","3.2","1,112,719","6.8","96,877"
"Black Caribbean","4.2","623,459","5.2","694,681","9.7","49,215"
"Black other","3.4","357,886","4.1","282,221","8.5","30,864"
"Chinese","2.4","147,872","2.2","79,373","5.8","6,189"
"Mixed","4.3","3,572,133","5.7","2,847,718","10.0","187,468"
"Mixed White/Asian","4.0","774,324","5.1","584,396","9.6","31,555"
"Mixed White/Black African","3.8","444,525","5.3","325,943","8.7","21,714"
"Mixed White/Black Caribbean","5.0","1,088,141","6.9","985,808","10.7","61,953"
"Mixed other","4.2","1,265,143","5.3","951,571","10.2","72,246"
"White","4.1","42,481,555","5.6","42,237,076","9.7","2,376,481"
"White British","3.9","37,249,507","5.5","38,862,423","9.6","2,207,467"
"White Irish","4.8","178,048","6.1","191,811","14.6","13,100"
"Gypsy/Roma","11.8","621,994","14.9","390,294","20.5","24,369"
"Irish traveller","18.0","237,014","17.7","63,764","27.4","11,043"
"White other","4.5","4,194,992","5.4","2,728,784","10.0","120,502"
"Other","4.2","1,078,553","4.7","769,815","9.8","50,426"
"Unknown","4.7","571,826","6.1","957,552","12.5","59,044"
