"Title","Permanent exclusions by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: exclusions"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"Ethnicity","Exclusions","%"
"Asian","315","0.04"
"Bangladeshi","45","0.04"
"Indian","30","0.02"
"Pakistani","195","0.07"
"Asian other","40","0.03"
"Black","540","0.14"
"Black African","230","0.09"
"Black Caribbean","245","0.29"
"Black other","65","0.13"
"Chinese","5","0.01"
"Mixed","520","0.14"
"Mixed White/Asian","70","0.08"
"Mixed White/Black African","55","0.12"
"Mixed White/Black Caribbean","250","0.25"
"Mixed other","150","0.11"
"White","5,055","0.10"
"White British","4,740","0.10"
"White Irish","20","0.09"
"White Irish Traveller","25","0.49"
"White Gypsy/Roma","65","0.33"
"White other","205","0.05"
"Other","90","0.07"
"Unknown","110","0.16"
