"Title","Fixed period exclusions by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: exclusions"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","0.80","2.37","0.00","2.33","2.91","1.68"
"Barnet","1.23","6.16","0.78","4.11","2.97","2.44"
"Barnsley","!","10.47","0.00","10.33","20.69","8.16"
"Bath and North East Somerset","1.36","22.54","0.00","15.14","5.59","5.36"
"Bedford","1.88","4.76","!","6.12","3.60","2.13"
"Bexley","0.74","3.68","!","6.96","5.83","2.95"
"Birmingham","2.69","6.84","0.84","7.32","4.93","2.52"
"Blackburn with Darwen","0.69","2.79","0.00","2.67","2.97","!"
"Blackpool","!","8.33","0.00","8.99","7.40","!"
"Bolton","1.33","3.42","2.88","6.72","6.37","3.49"
"Bournemouth","0.65","8.65","0.00","5.42","6.92","5.58"
"Bracknell Forest","0.83","3.86","!","4.80","3.59","!"
"Bradford","2.66","5.73","0.00","5.58","3.66","1.36"
"Brent","1.02","9.96","!","5.73","3.02","4.43"
"Brighton and Hove","2.40","3.29","0.00","6.54","5.69","3.33"
"Bristol City of","2.64","9.07","!","10.48","8.72","3.67"
"Bromley","0.21","3.20","!","2.09","1.74","2.15"
"Buckinghamshire","3.22","7.74","0.00","6.21","3.27","4.52"
"Bury","1.52","4.62","0.00","8.16","4.55","1.56"
"Calderdale","1.81","2.68","0.00","5.27","5.08","!"
"Cambridgeshire","1.34","4.53","!","3.95","3.92","1.55"
"Camden","3.01","8.10","0.00","6.95","5.38","3.77"
"Central Bedfordshire","3.83","3.71","0.00","7.41","4.12","2.52"
"Cheshire East","1.36","6.80","0.00","5.54","4.34","!"
"Cheshire West and Chester","0.88","3.73","!","4.50","4.09","!"
"City of London","0.00","0.00","!","29.17","0.00","0.00"
"Cornwall","0.00","6.45","!","3.81","3.59","2.38"
