"Title","Temporary exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Local authority","%"
"Asian","City of London","0.00"
"Asian","Camden","2.44"
"Asian","Greenwich","1.52"
"Asian","Hackney","2.16"
"Asian","Hammersmith and Fulham","3.51"
"Asian","Islington","1.46"
"Asian","Kensington and Chelsea","3.77"
"Asian","Lambeth","0.51"
"Asian","Lewisham","1.02"
"Asian","Southwark","1.18"
"Asian","Tower Hamlets","1.86"
"Asian","Wandsworth","0.77"
"Asian","Westminster","2.49"
"Asian","Barking and Dagenham","0.54"
"Asian","Barnet","1.17"
"Asian","Bexley","1.25"
"Asian","Brent","1.18"
"Asian","Bromley","0.38"
"Asian","Croydon","0.76"
"Asian","Ealing","1.22"
"Asian","Enfield","1.09"
"Asian","Haringey","1.39"
"Asian","Harrow","0.88"
"Asian","Havering","1.05"
"Asian","Hillingdon","0.94"
"Asian","Hounslow","0.97"
"Asian","Kingston upon Thames","0.82"
"Asian","Merton","0.74"
"Asian","Newham","1.72"
"Asian","Redbridge","1.65"
"Asian","Richmond upon Thames","1.29"
"Asian","Sutton","0.70"
"Asian","Waltham Forest","2.13"
"Asian","Birmingham","2.34"
"Asian","Coventry","1.12"
"Asian","Dudley","1.99"
"Asian","Sandwell","1.55"
"Asian","Solihull","2.41"
"Asian","Walsall","1.34"
"Asian","Wolverhampton","1.47"
"Asian","Knowsley","!"
"Asian","Liverpool","0.88"
"Asian","St. Helens","1.67"
"Asian","Sefton","1.20"
"Asian","Wirral","0.92"
"Asian","Bolton","1.51"
"Asian","Bury","1.92"
"Asian","Manchester","1.74"
"Asian","Oldham","2.79"
"Asian","Rochdale","1.67"
"Asian","Salford","0.99"
"Asian","Stockport","1.30"
"Asian","Tameside","2.90"
"Asian","Trafford","1.52"
"Asian","Wigan","2.65"
"Asian","Barnsley","0.00"
"Asian","Doncaster","5.50"
"Asian","Rotherham","4.97"
"Asian","Sheffield","2.70"
"Asian","Bradford","2.42"
"Asian","Calderdale","2.85"
"Asian","Kirklees","1.82"
"Asian","Leeds","2.98"
"Asian","Wakefield","2.11"
"Asian","Gateshead","4.05"
"Asian","Newcastle upon Tyne","1.21"
"Asian","North Tyneside","1.44"
"Asian","South Tyneside","1.32"
"Asian","Sunderland","0.37"
"Asian","Isles Of Scilly","N/A"
"Asian","Bath and North East Somerset","!"
"Asian","Bristol City of","2.06"
"Asian","North Somerset","1.90"
"Asian","South Gloucestershire","1.56"
"Asian","Hartlepool","1.10"
"Asian","Middlesbrough","3.66"
"Asian","Redcar and Cleveland","8.11"
"Asian","Stockton-on-Tees","2.58"
"Asian","Kingston upon Hull City of","1.75"
"Asian","East Riding of Yorkshire","0.00"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","4.09"
"Asian","North Yorkshire","1.67"
"Asian","York","0.60"
"Asian","Luton","3.32"
"Asian","Bedford","2.35"
"Asian","Central Bedfordshire","2.16"
"Asian","Buckinghamshire","3.43"
"Asian","Milton Keynes","1.11"
"Asian","Derbyshire","2.25"
"Asian","Derby","2.25"
"Asian","Dorset","1.45"
"Asian","Poole","!"
"Asian","Bournemouth","0.91"
"Asian","Durham","1.54"
"Asian","Darlington","2.90"
"Asian","East Sussex","0.80"
"Asian","Brighton and Hove","0.98"
"Asian","Hampshire","0.71"
"Asian","Portsmouth","1.17"
"Asian","Southampton","1.11"
"Asian","Leicestershire","0.82"
"Asian","Leicester","1.15"
"Asian","Rutland","0.00"
"Asian","Staffordshire","2.66"
"Asian","Stoke-on-Trent","5.23"
"Asian","Wiltshire","0.61"
"Asian","Swindon","1.20"
"Asian","Bracknell Forest","1.02"
"Asian","Windsor and Maidenhead","3.01"
"Asian","West Berkshire","1.56"
"Asian","Reading","1.34"
"Asian","Slough","2.07"
"Asian","Wokingham","1.42"
"Asian","Cambridgeshire","1.01"
"Asian","Peterborough","2.32"
"Asian","Halton","0.00"
"Asian","Warrington","0.55"
"Asian","Devon","0.65"
"Asian","Plymouth","1.02"
"Asian","Torbay","!"
"Asian","Essex","1.07"
"Asian","Southend-on-Sea","1.61"
"Asian","Thurrock","0.84"
"Asian","Herefordshire","0.00"
"Asian","Worcestershire","2.27"
"Asian","Kent","0.92"
"Asian","Medway","0.54"
"Asian","Lancashire","2.41"
"Asian","Blackburn with Darwen","0.94"
"Asian","Blackpool","0.76"
"Asian","Nottinghamshire","1.54"
"Asian","Nottingham","2.39"
"Asian","Shropshire","0.00"
"Asian","Telford and Wrekin","5.12"
"Asian","Cheshire East","1.30"
"Asian","Cheshire West and Chester","!"
"Asian","Cornwall","!"
"Asian","Cumbria","0.69"
"Asian","Gloucestershire","1.04"
"Asian","Hertfordshire","1.45"
"Asian","Isle of Wight","0.00"
"Asian","Lincolnshire","0.92"
"Asian","Norfolk","0.83"
"Asian","Northamptonshire","1.48"
"Asian","Northumberland","1.23"
"Asian","Oxfordshire","2.06"
"Asian","Somerset","2.48"
"Asian","Suffolk","0.72"
"Asian","Surrey","1.37"
"Asian","Warwickshire","0.74"
"Asian","West Sussex","1.94"
"Black","City of London","0.00"
"Black","Camden","6.92"
"Black","Greenwich","5.78"
"Black","Hackney","8.65"
"Black","Hammersmith and Fulham","7.20"
"Black","Islington","6.25"
"Black","Kensington and Chelsea","8.49"
"Black","Lambeth","5.20"
"Black","Lewisham","7.06"
"Black","Southwark","5.07"
"Black","Tower Hamlets","3.51"
"Black","Wandsworth","5.57"
"Black","Westminster","8.45"
"Black","Barking and Dagenham","2.17"
"Black","Barnet","5.79"
"Black","Bexley","4.76"
"Black","Brent","7.84"
"Black","Bromley","3.10"
"Black","Croydon","6.06"
"Black","Ealing","5.98"
"Black","Enfield","7.64"
"Black","Haringey","6.08"
"Black","Harrow","5.78"
"Black","Havering","5.77"
"Black","Hillingdon","5.02"
"Black","Hounslow","6.94"
"Black","Kingston upon Thames","3.52"
"Black","Merton","4.75"
"Black","Newham","5.87"
"Black","Redbridge","6.98"
"Black","Richmond upon Thames","7.34"
"Black","Sutton","4.61"
"Black","Waltham Forest","7.33"
"Black","Birmingham","6.97"
"Black","Coventry","4.35"
"Black","Dudley","6.69"
"Black","Sandwell","6.76"
"Black","Solihull","10.31"
"Black","Walsall","3.82"
"Black","Wolverhampton","6.00"
"Black","Knowsley","3.05"
"Black","Liverpool","3.82"
"Black","St. Helens","6.42"
"Black","Sefton","!"
"Black","Wirral","2.35"
"Black","Bolton","3.21"
"Black","Bury","6.78"
"Black","Manchester","6.66"
"Black","Oldham","1.79"
"Black","Rochdale","2.69"
"Black","Salford","1.60"
"Black","Stockport","4.30"
"Black","Tameside","7.49"
"Black","Trafford","5.89"
"Black","Wigan","1.34"
"Black","Barnsley","8.73"
"Black","Doncaster","9.56"
"Black","Rotherham","3.32"
"Black","Sheffield","4.63"
"Black","Bradford","5.95"
"Black","Calderdale","3.38"
"Black","Kirklees","8.92"
"Black","Leeds","3.74"
"Black","Wakefield","3.43"
"Black","Gateshead","6.83"
"Black","Newcastle upon Tyne","1.13"
"Black","North Tyneside","!"
"Black","South Tyneside","2.61"
"Black","Sunderland","!"
"Black","Isles Of Scilly","N/A"
"Black","Bath and North East Somerset","10.59"
"Black","Bristol City of","8.10"
"Black","North Somerset","6.67"
"Black","South Gloucestershire","7.58"
"Black","Hartlepool","4.55"
"Black","Middlesbrough","5.29"
"Black","Redcar and Cleveland","0.00"
"Black","Stockton-on-Tees","0.86"
"Black","Kingston upon Hull City of","1.36"
"Black","East Riding of Yorkshire","0.00"
"Black","North East Lincolnshire","6.90"
"Black","North Lincolnshire","12.40"
"Black","North Yorkshire","1.96"
"Black","York","3.94"
"Black","Luton","7.08"
"Black","Bedford","3.69"
"Black","Central Bedfordshire","4.04"
"Black","Buckinghamshire","7.75"
"Black","Milton Keynes","3.57"
"Black","Derbyshire","3.58"
"Black","Derby","5.27"
"Black","Dorset","3.39"
"Black","Poole","2.86"
"Black","Bournemouth","5.26"
"Black","Durham","2.11"
"Black","Darlington","0.00"
"Black","East Sussex","5.26"
"Black","Brighton and Hove","5.56"
"Black","Hampshire","3.58"
"Black","Portsmouth","2.49"
"Black","Southampton","5.16"
"Black","Leicestershire","6.57"
"Black","Leicester","4.55"
"Black","Rutland","13.79"
"Black","Staffordshire","5.60"
"Black","Stoke-on-Trent","2.30"
"Black","Wiltshire","2.51"
"Black","Swindon","3.12"
"Black","Bracknell Forest","1.85"
"Black","Windsor and Maidenhead","6.90"
"Black","West Berkshire","5.56"
"Black","Reading","5.95"
"Black","Slough","4.34"
"Black","Wokingham","3.97"
"Black","Cambridgeshire","8.02"
"Black","Peterborough","2.22"
"Black","Halton","0.00"
"Black","Warrington","5.17"
"Black","Devon","1.92"
"Black","Plymouth","1.83"
"Black","Torbay","!"
"Black","Essex","4.34"
"Black","Southend-on-Sea","5.77"
"Black","Thurrock","1.46"
"Black","Herefordshire","!"
"Black","Worcestershire","5.21"
"Black","Kent","4.23"
"Black","Medway","3.33"
"Black","Lancashire","4.98"
"Black","Blackburn with Darwen","2.30"
"Black","Blackpool","7.58"
"Black","Nottinghamshire","5.59"
"Black","Nottingham","5.59"
"Black","Shropshire","4.72"
"Black","Telford and Wrekin","5.02"
"Black","Cheshire East","6.74"
"Black","Cheshire West and Chester","4.22"
"Black","Cornwall","4.69"
"Black","Cumbria","4.55"
"Black","Gloucestershire","7.55"
"Black","Hertfordshire","5.58"
"Black","Isle of Wight","0.00"
"Black","Lincolnshire","4.45"
"Black","Norfolk","4.51"
"Black","Northamptonshire","4.64"
"Black","Northumberland","0.00"
"Black","Oxfordshire","5.99"
"Black","Somerset","1.49"
"Black","Suffolk","3.93"
"Black","Surrey","3.72"
"Black","Warwickshire","2.43"
"Black","West Sussex","5.54"
"Chinese","City of London","0.00"
"Chinese","Camden","0.00"
