"school_type","Ethnicity","Exclusions","%"
"Primary","Asian","1,370","0.27"
"Primary","Bangladeshi","175","0.22"
"Primary","Indian","185","0.13"
"Primary","Pakistani","805","0.39"
"Primary","Asian other","200","0.24"
"Primary","Black","4,265","1.62"
"Primary","Black African","2,080","1.16"
"Primary","Black Caribbean","1,570","3.26"
"Primary","Black other","620","1.72"
"Primary","Chinese","45","0.20"
"Primary","Mixed","5,295","1.88"
"Primary","Mixed White/Asian","575","0.86"
"Primary","Mixed White/Black African","720","1.84"
"Primary","Mixed White/Black Caribbean","2,570","3.52"
"Primary","Mixed other","1,430","1.39"
"Primary","White","52,355","1.50"
"Primary","White British","49,080","1.57"
"Primary","White Irish","140","1.13"
"Primary","Gypsy/Roma","840","4.83"
"Primary","Irish traveller","355","7.69"
"Primary","White other","1,935","0.60"
"Primary","Other","515","0.57"
"Primary","Unknown","500","1.32"
"Secondary","Asian","14,060","4.07"
"Secondary","Bangladeshi","2,370","4.16"
"Secondary","Indian","1,780","1.87"
"Secondary","Pakistani","8,155","5.96"
"Secondary","Asian other","1,760","3.10"
"Secondary","Black","20,335","11.14"
"Secondary","Black African","10,340","8.80"
"Secondary","Black Caribbean","7,345","17.15"
"Secondary","Black other","2,650","11.98"
"Secondary","Chinese","155","1.19"
"Secondary","Mixed","19,035","11.87"
"Secondary","Mixed White/Asian","2,680","7.18"
"Secondary","Mixed White/Black African","2,465","12.51"
"Secondary","Mixed White/Black Caribbean","8,350","18.61"
"Secondary","Mixed other","5,540","9.48"
"Secondary","White","239,605","9.90"
"Secondary","White British","223,795","10.01"
"Secondary","White Irish","980","9.18"
"Secondary","Gypsy/Roma","3,500","45.10"
"Secondary","Irish traveller","555","52.17"
"Secondary","White other","10,780","6.56"
"Secondary","Other","3,960","7.16"
"Secondary","Unknown","5,740","12.25"
"Special","Asian","250","2.29"
"Special","Bangladeshi","60","3.41"
"Special","Indian","25","1.32"
"Special","Pakistani","110","2.08"
"Special","Asian other","50","2.83"
"Special","Black","960","12.65"
"Special","Black African","230","4.89"
"Special","Black Caribbean","535","31.94"
"Special","Black other","195","16.04"
"Special","Chinese","!","!"
"Special","Mixed","1,350","21.85"
"Special","Mixed White/Asian","105","9.52"
"Special","Mixed White/Black African","110","13.81"
"Special","Mixed White/Black Caribbean","675","35.53"
"Special","Mixed other","460","19.38"
"Special","White","11,765","13.99"
"Special","White British","11,390","14.38"
"Special","White Irish","40","13.10"
"Special","Gypsy/Roma","75","20.16"
"Special","Irish traveller","60","51.24"
"Special","White other","190","4.74"
"Special","Other","95","5.42"
"Special","Unknown","220","15.42"
