"Title","Average earnings of graduates by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Graduate outcomes (LEO): 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/graduate-outcomes-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","15/03/2018"

"","1 year after graduation","3 years after graduation","5 years after graduation","10 years after graduation"
"Ethnicity","Average (median) earnings (£)","Average (median) earnings (£)","Average (median) earnings (£)","Average (median) earnings (£)"
"All","18,900","22,800","25,700","30,600"
"Bangladeshi","16,700","21,000","23,300","28,800"
"Chinese","20,600","25,000","27,700","32,000"
"Indian","20,400","24,900","28,000","33,000"
"Pakistani","17,000","20,200","21,500","24,900"
"Asian other","19,800","24,600","27,500","34,300"
"Black African","18,500","20,900","23,500","27,800"
"Black Caribbean","17,200","20,300","22,900","27,800"
"Black other","17,100","19,500","20,700","29,100"
"White","19,000","22,900","25,800","30,800"
"Other (including mixed)","18,700","22,800","25,800","31,000"
