"Title","Students going into sustained education or employment by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: destinations of key stage 4 and key stage 5 pupils"
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","15/02/2018"

"","Education, employment or training","Education","Employment","No sustained education/employment","Unknown"
"Ethnicity","%","%","%","%","%"
"All","89","66","23","8","3"
"Asian","89","79","9","7","4"
"Bangladeshi","90","81","9","7","3"
"Indian","91","82","9","6","3"
"Pakistani","86","77","10","9","5"
"Asian other","89","79","10","7","4"
"Black","90","79","11","7","3"
"Black African","91","83","8","5","3"
"Black Caribbean","88","71","17","9","3"
"Black other","89","77","12","8","3"
"Chinese","92","86","5","4","5"
"Mixed","88","69","19","8","3"
"Mixed White/Asian","89","72","17","8","3"
"Mixed White/Black African","88","72","16","9","3"
"Mixed White/Black Caribbean","88","64","24","9","3"
"Mixed other","88","71","17","8","4"
"White","90","63","26","8","3"
"White British","90","63","27","8","3"
"White Irish","89","69","20","8","3"
"White Irish Traveller","65","45","20","20","15"
"White Gypsy/Roma","78","41","38","19","3"
"White other","86","69","17","8","5"
"Other","88","77","11","7","5"
"Unknown","80","62","18","8","11"
