"Title","Apprenticeship starts"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Education and Skills Funding Agency"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21/12/16"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"," Numerator "
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1","167,700","3,510"
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5","167,700","2,560"
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.1","167,700","1,770"
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93.8","167,700","157,270"
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.6","167,700","1,060"
"Percentage of apprenticeship starts for each ethnicity","2002/03","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9","167,700","1,520"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2","193,600","4,210"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5","193,600","2,820"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.2","193,600","2,260"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","94.1","193,600","182,140"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.3","193,600","670"
"Percentage of apprenticeship starts for each ethnicity","2003/04","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8","193,600","1,460"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","Asian/Asian British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.5","189,000","4,660"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","Black/African/Caribbean/Black British","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5","189,000","2,920"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","Mixed/Multiple Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.3","189,000","2,460"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","White","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93.4","189,000","176,450"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","Other Ethnic group","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.4","189,000","820"
"Percentage of apprenticeship starts for each ethnicity","2004/05","Academic Year","Not known/not provided","ONS 5+1 2011","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9","189,000","1,720"
