"Title","Number of apprenticeship starts by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2016/17"
"Data source","FE data library: apprenticeships"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","Asian","Black","Mixed","White","Other","Unknown"
"Year","Starts","Starts","Starts","Starts","Starts","Starts","Starts"
"2002/03","167,690","3,510","2,560","1,770","157,270","1,060","1,520"
"2003/04","193,560","4,210","2,820","2,260","182,140","670","1,460"
"2004/05","189,030","4,660","2,920","2,460","176,450","820","1,720"
"2005/06","174,970","4,100","2,350","2,310","164,120","750","1,340"
"2006/07","184,430","4,680","2,430","2,660","172,470","750","1,440"
"2007/08","224,770","6,500","3,600","3,150","208,230","1,000","2,290"
"2008/09","239,960","9,450","5,110","3,840","217,890","1,220","2,450"
"2009/10","279,670","9,390","6,390","5,020","254,780","1,430","2,660"
"2010/11","457,210","19,270","14,610","8,290","407,050","3,440","4,550"
"2011/12","520,580","20,720","17,350","9,850","464,960","3,430","4,270"
"2012/13","510,220","19,690","16,590","10,110","455,440","3,380","5,010"
"2013/14","440,420","18,600","13,650","9,470","391,480","3,110","4,110"
"2014/15","499,910","21,510","17,250","10,930","442,340","3,500","4,380"
"2015/16","509,370","21,380","17,500","11,100","448,830","3,500","7,060"
"2016/17","494,900","22,000","18,100","11,000","434,200","4,200","5,400"
