"Title","Entry rates into higher education by ethnicity"
"Location","England"
"Time period","2006 to 2017"
"Data source","UCAS End Of Cycle Report 2017"
"Data source link","https://www.ucas.com/corporate/data-and-analysis/ucas-undergraduate-releases/ucas-undergraduate-analysis-reports/2017-end-cycle-report"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","Asian","Black","Chinese","Mixed","White","Other"
"Year","%","%","%","%","%","%"
"2006","34.5","21.6","53.6","22.9","21.8","27.0"
"2007","34.6","23.1","52.8","24.3","22.2","27.1"
"2008","35.7","25.7","52.0","25.0","23.5","27.9"
"2009","36.1","27.0","52.6","25.7","24.1","27.8"
"2010","35.0","28.4","52.6","25.6","24.2","27.8"
"2011","37.0","31.7","60.1","28.9","25.8","30.5"
"2012","36.1","31.4","57.1","27.8","24.7","30.6"
"2013","38.6","34.7","57.4","29.2","26.1","32.0"
"2014","39.8","36.0","59.3","31.0","27.3","34.3"
"2015","42.3","38.4","61.0","32.3","27.9","36.8"
"2016","44.1","39.1","60.8","33.4","28.9","38.0"
"2017","45.8","40.4","63.0","34.0","29.3","40.1"
