"Title","First year entrants onto undergraduate degrees"
"Location","United Kingdom"
"Time period","2007/08 to 2015/16"
"Data source","Higher Education Statistics Agency"
"Data source link","https://www.hesa.ac.uk/news/12-01-2017/sfr242-student-enrolments-and-qualifications"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017"
"Measure ","Time","Time_type","Ethnicity","Ethnicity Type ","Value","Value_type","Denominator ","Numerator"
"First year enrolments onto undergraduate degrees","2007/08","Year","White","ONS 5+1 2011","82.8","%","663365","549365"
"First year enrolments onto undergraduate degrees","2007/08","Year","Black","ONS 5+1 2011","5.8","%","663365","38735"
"First year enrolments onto undergraduate degrees","2007/08","Year","Asian","ONS 5+1 2011","8","%","663365","52745"
"First year enrolments onto undergraduate degrees","2007/08","Year","Mixed","ONS 5+1 2011","2.4","%","663365","15980"
"First year enrolments onto undergraduate degrees","2007/08","Year","Other","ONS 5+1 2011","1","%","663365","6540"
"First year enrolments onto undergraduate degrees","2007/08","Year","Unreported","ONS 5+1 2011","6.0","%","705700","42335"
"First year enrolments onto undergraduate degrees","2008/09","Year","White","ONS 5+1 2011","82.2","%","708765","582495"
"First year enrolments onto undergraduate degrees","2008/09","Year","Black","ONS 5+1 2011","6.2","%","708765","43975"
"First year enrolments onto undergraduate degrees","2008/09","Year","Asian","ONS 5+1 2011","8.1","%","708765","57165"
"First year enrolments onto undergraduate degrees","2008/09","Year","Mixed","ONS 5+1 2011","2.6","%","708765","18280"
"First year enrolments onto undergraduate degrees","2008/09","Year","Other","ONS 5+1 2011","1","%","708765","6850"
"First year enrolments onto undergraduate degrees","2008/09","Year","Unreported","ONS 5+1 2011","4.8","%","744845","36080"
"First year enrolments onto undergraduate degrees","2009/10","Year","White","ONS 5+1 2011","82.1","%","721165","592095"
"First year enrolments onto undergraduate degrees","2009/10","Year","Black","ONS 5+1 2011","6.3","%","721165","45465"
"First year enrolments onto undergraduate degrees","2009/10","Year","Asian","ONS 5+1 2011","7.9","%","721165","57265"
"First year enrolments onto undergraduate degrees","2009/10","Year","Mixed","ONS 5+1 2011","2.7","%","721165","19125"
"First year enrolments onto undergraduate degrees","2009/10","Year","Other","ONS 5+1 2011","1","%","721165","7220"
"First year enrolments onto undergraduate degrees","2009/10","Year","Unreported","ONS 5+1 2011","4.0","%","750900","29730"
"First year enrolments onto undergraduate degrees","2010/11","Year","White","ONS 5+1 2011","81.8","%","687590","562385"
"First year enrolments onto undergraduate degrees","2010/11","Year","Black","ONS 5+1 2011","6.3","%","687590","43165"
"First year enrolments onto undergraduate degrees","2010/11","Year","Asian","ONS 5+1 2011","8.1","%","687590","55955"
"First year enrolments onto undergraduate degrees","2010/11","Year","Mixed","ONS 5+1 2011","2.8","%","687590","19515"
"First year enrolments onto undergraduate degrees","2010/11","Year","Other","ONS 5+1 2011","1","%","687590","6575"
"First year enrolments onto undergraduate degrees","2010/11","Year","Unreported","ONS 5+1 2011","2.5","%","705390","17795"
"First year enrolments onto undergraduate degrees","2011/12","Year","White","ONS 5+1 2011","81.4","%","678055","552195"
"First year enrolments onto undergraduate degrees","2011/12","Year","Black","ONS 5+1 2011","6.3","%","678055","42660"
"First year enrolments onto undergraduate degrees","2011/12","Year","Asian","ONS 5+1 2011","8.3","%","678055","56125"
"First year enrolments onto undergraduate degrees","2011/12","Year","Mixed","ONS 5+1 2011","3","%","678055","20500"
"First year enrolments onto undergraduate degrees","2011/12","Year","Other","ONS 5+1 2011","1","%","678055","6575"
"First year enrolments onto undergraduate degrees","2011/12","Year","Unreported","ONS 5+1 2011","2.3","%","693895","15840"
"First year enrolments onto undergraduate degrees","2012/13","Year","White","ONS 5+1 2011","79.6","%","555625","442385"
"First year enrolments onto undergraduate degrees","2012/13","Year","Black","ONS 5+1 2011","7","%","555625","38870"
"First year enrolments onto undergraduate degrees","2012/13","Year","Asian","ONS 5+1 2011","9","%","555625","50105"
"First year enrolments onto undergraduate degrees","2012/13","Year","Mixed","ONS 5+1 2011","3.1","%","555625","17485"
"First year enrolments onto undergraduate degrees","2012/13","Year","Other","ONS 5+1 2011","1.2","%","555625","6785"
"First year enrolments onto undergraduate degrees","2012/13","Year","Unreported","ONS 5+1 2011","2.1","%","567730","12100"
"First year enrolments onto undergraduate degrees","2013/14","Year","White","ONS 5+1 2011","79.1","%","565045","447130"
"First year enrolments onto undergraduate degrees","2013/14","Year","Black","ONS 5+1 2011","7","%","565045","39395"
"First year enrolments onto undergraduate degrees","2013/14","Year","Asian","ONS 5+1 2011","9.3","%","565045","52750"
"First year enrolments onto undergraduate degrees","2013/14","Year","Mixed","ONS 5+1 2011","3.3","%","565045","18705"
"First year enrolments onto undergraduate degrees","2013/14","Year","Other","ONS 5+1 2011","1.3","%","565045","7065"
"First year enrolments onto undergraduate degrees","2013/14","Year","Unreported","ONS 5+1 2011","1.9","%","576150","11105"
"First year enrolments onto undergraduate degrees","2014/15","Year","White","ONS 5+1 2011","78.1","%","559375","436945"
"First year enrolments onto undergraduate degrees","2014/15","Year","Black","ONS 5+1 2011","7.1","%","559375","39865"
"First year enrolments onto undergraduate degrees","2014/15","Year","Asian","ONS 5+1 2011","9.8","%","559375","55030"
"First year enrolments onto undergraduate degrees","2014/15","Year","Mixed","ONS 5+1 2011","3.5","%","559375","19780"
"First year enrolments onto undergraduate degrees","2014/15","Year","Other","ONS 5+1 2011","1.4","%","559375","7755"
"First year enrolments onto undergraduate degrees","2014/15","Year","Unreported","ONS 5+1 2011","2.1","%","571610","12235"
"First year enrolments onto undergraduate degrees","2015/16","Year","White","ONS 5+1 2011","77.1","%","564700","435120"
"First year enrolments onto undergraduate degrees","2015/16","Year","Black","ONS 5+1 2011","7.4","%","564700","41980"
"First year enrolments onto undergraduate degrees","2015/16","Year","Asian","ONS 5+1 2011","10.3","%","564700","58175"
"First year enrolments onto undergraduate degrees","2015/16","Year","Mixed","ONS 5+1 2011","3.8","%","564700","21250"
"First year enrolments onto undergraduate degrees","2015/16","Year","Other","ONS 5+1 2011","1.4","%","564700","8175"
"First year enrolments onto undergraduate degrees","2015/16","Year","Unreported","ONS 5+1 2011","1.5","%","573560","8860"
