"Title","First year entrants onto undergraduate degrees by ethnicity"
"Location","UK"
"Time period","2007/08 to 2015/16"
"Data source","Higher Education Statistics Agency (HESA) student record"
"Data source link","https://www.hesa.ac.uk/news/12-01-2017/sfr242-student-enrolments-and-qualifications"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017"

"","Asian","","Black","","Mixed","","White","","Other",""
"","%","Number","%","Number","%","Number","%","Number","%","Number"
"2007/08","8.0","52,745","5.8","38,735","2.4","15,980","82.8","549,365","1.0","6,540"
"2008/09","8.1","57,165","6.2","43,975","2.6","18,280","82.2","582,495","1.0","6,850"
"2009/10","7.9","57,265","6.3","45,465","2.7","19,125","82.1","592,095","1.0","7,220"
"2010/11","8.1","55,955","6.3","43,165","2.8","19,515","81.8","562,385","1.0","6,575"
"2011/12","8.3","56,125","6.3","42,660","3.0","20,500","81.4","552,195","1.0","6,575"
"2012/13","9.0","50,105","7.0","38,870","3.1","17,485","79.6","442,385","1.2","6,785"
"2013/14","9.3","52,750","7.0","39,395","3.3","18,705","79.1","447,130","1.3","7,065"
"2014/15","9.8","55,030","7.1","39,865","3.5","19,780","78.1","436,945","1.4","7,755"
"2015/16","10.3","58,175","7.4","41,980","3.8","21,250","77.1","435,120","1.4","8,175"
