"","Asian","Black","Mixed","White","Other","Unknown"
"Year","%","%","%","%","%","%"
"2008/09","3.1","1.8","1.4","92.4","0.4","0.9"
"2009/10","2.9","2.0","1.6","92.1","0.5","0.8"
"2010/11","3.7","2.7","1.7","90.5","0.6","0.8"
"2011/12","3.9","3.2","1.8","89.6","0.7","0.8"
"2012/13","3.8","3.3","1.9","89.4","0.7","1.0"
"2013/14","4.0","3.2","2.0","89.1","0.6","1.1"
"2014/15","4.2","3.4","2.1","88.7","0.7","0.9"
"2015/16","4.3","3.5","2.1","88.0","0.7","1.4"
"2016/17","4.3","3.6","2.2","88.2","0.8","0.9"
