"Title","Representation of ethnic groups in apprenticeships"
"Location","England"
"Time period","2015/16"
"Data source","Apprenticeship statistics"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","November 2016"

"Grouping","Ethnicity","%"
"Apprentices","Asian","4.3"
"Apprentices","Black","3.5"
"Apprentices","Mixed","2.1"
"Apprentices","White","88.0"
"Apprentices","Other","0.7"
"Population (2015 estimate)","Asian","8.2"
"Population (2015 estimate)","Black","3.7"
"Population (2015 estimate)","Mixed","2.6"
"Population (2015 estimate)","White","84.6"
"Population (2015 estimate)","Other","1.1"
