"","Boys","","Girls",""
"Ethnicity","FSM","Non- FSM","FSM","Non- FSM"
"All","43","62","61","78"
"Asian","49","58","62","73"
"Bangladeshi","52","54","65","71"
"Indian","56","67","69","81"
"Pakistani","46","52","60","68"
"Asian other","48","59","61","74"
"Black","52","59","69","76"
"Black African","53","60","68","77"
"Black Caribbean","47","60","69","76"
"Black other","52","58","70","74"
"Chinese","50","59","68","76"
"Mixed","49","65","67","80"
"Mixed White/Asian","48","69","69","82"
"Mixed White/Black African","49","64","68","79"
"Mixed White/Black Caribbean","47","60","64","78"
"Mixed other","50","65","68","79"
"White","41","64","60","79"
"White British","41","66","60","81"
"White Irish","39","67","57","80"
"White Irish Traveller","19","34","32","54"
"White Gypsy/Roma","22","17","31","30"
"White other","40","52","59","68"
"Other","45","53","62","67"
