"Title","Attainment of development goals by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/10/16"

"Gender","Ethnicity","FSM","Non- FSM"
"Boys","All","43","62"
"Boys","Asian","49","58"
"Boys","Bangladeshi","52","54"
"Boys","Indian","56","67"
"Boys","Pakistani","46","52"
"Boys","Asian other","48","59"
"Boys","Black","52","59"
"Boys","Black African","53","60"
"Boys","Black Caribbean","47","60"
"Boys","Black other","52","58"
"Boys","Chinese","50","59"
"Boys","Mixed","49","65"
"Boys","Mixed White/Asian","48","69"
"Boys","Mixed White/Black African","49","64"
"Boys","Mixed White/Black Caribbean","47","60"
"Boys","Mixed other","50","65"
"Boys","White","41","64"
"Boys","White British","41","66"
"Boys","White Irish","39","67"
"Boys","White Irish Traveller","19","34"
"Boys","White Gypsy/Roma","22","17"
"Boys","White other","40","52"
"Boys","Other","45","53"
"Girls","All","61","78"
"Girls","Asian","62","73"
"Girls","Bangladeshi","65","71"
"Girls","Indian","69","81"
"Girls","Pakistani","60","68"
"Girls","Asian other","61","74"
"Girls","Black","69","76"
"Girls","Black African","68","77"
"Girls","Black Caribbean","69","76"
"Girls","Black other","70","74"
"Girls","Chinese","68","76"
"Girls","Mixed","67","80"
"Girls","Mixed White/Asian","69","82"
"Girls","Mixed White/Black African","68","79"
"Girls","Mixed White/Black Caribbean","64","78"
"Girls","Mixed other","68","79"
"Girls","White","60","79"
"Girls","White British","60","81"
"Girls","White Irish","57","80"
"Girls","White Irish Traveller","32","54"
"Girls","White Gypsy/Roma","31","30"
"Girls","White other","59","68"
"Girls","Other","62","67"
