"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Value","Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","England","Country","E92000001","50","422763"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","England","Country","E92000001","50","395316"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","England","Country","E92000001","55","1774"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","29","122"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","20","1107"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","England","Country","E92000001","50","24444"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","England","Country","E92000001","51","22868"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","46","7160"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","50","2687"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","55","5089"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","52","7932"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","England","Country","E92000001","53","51218"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","57","14046"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","49","20434"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","52","8319"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","55","8419"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","England","Country","E92000001","49","27924"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","45","7216"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","England","Country","E92000001","50","17349"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","47","3359"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","England","Country","E92000001","62","2026"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","England","Country","E92000001","50","8119"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","England","Country","E92000001","44","5771"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","England","Country","E92000001","50","540689"
