"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","Boys","All pupils","47","2492","NA","NA","52","2487","NA","NA","","49","4979"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","Boys","All pupils","46","591","NA","NA","51","548","NA","NA","","48","1139"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","Boys","All pupils","48","1009","NA","NA","52","904","NA","NA","","50","1913"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","Boys","All pupils","45","523","NA","NA","50","545","NA","NA","","47","1068"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","Boys","All pupils","44","711","NA","NA","48","753","NA","NA","","46","1464"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","47","1216","NA","NA","50","1177","NA","NA","","49","2393"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","Boys","All pupils","49","995","NA","NA","53","950","NA","NA","","51","1945"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","Boys","All pupils","46","1639","NA","NA","50","1559","NA","NA","","48","3198"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","46","828","NA","NA","50","792","NA","NA","","48","1620"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","Boys","All pupils","46","748","NA","NA","52","787","NA","NA","","49","1535"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","48","1066","NA","NA","53","928","NA","NA","","50","1994"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","Boys","All pupils","46","1463","NA","NA","50","1365","NA","NA","","48","2828"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","48","897","NA","NA","53","857","NA","NA","","50","1754"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","Boys","All pupils","43","657","NA","NA","45","674","NA","NA","","44","1331"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","Boys","All pupils","46","1718","NA","NA","52","1522","NA","NA","","49","3240"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","Boys","All pupils","49","1057","NA","NA","53","1003","NA","NA","","51","2060"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","Boys","All pupils","50","1851","NA","NA","54","1889","NA","NA","","52","3740"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","49","1744","NA","NA","54","1699","NA","NA","","51","3443"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","Boys","All pupils","46","2614","NA","NA","52","2520","NA","NA","","49","5134"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","Boys","All pupils","48","695","NA","NA","51","678","NA","NA","","49","1373"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","Boys","All pupils","37","603","NA","NA","41","544","NA","NA","","39","1147"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","Boys","All pupils","47","6240","NA","NA","52","5866","NA","NA","","50","12106"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","Boys","All pupils","46","2307","NA","NA","49","2304","NA","NA","","47","4611"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","Boys","All pupils","45","2405","NA","NA","50","2310","NA","NA","","47","4715"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","Boys","All pupils","43","1495","NA","NA","49","1425","NA","NA","","46","2920"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","Boys","All pupils","46","1184","NA","NA","50","1131","NA","NA","","48","2315"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","Boys","All pupils","45","1015","NA","NA","49","1069","NA","NA","","47","2084"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","Boys","All pupils","47","1557","NA","NA","52","1519","NA","NA","","49","3076"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","St Helens","Local Authority","E08000013","Boys","All pupils","47","906","NA","NA","51","861","NA","NA","","49","1767"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","Boys","All pupils","50","1417","NA","NA","54","1399","NA","NA","","52","2816"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","Boys","All pupils","48","1265","NA","NA","51","1228","NA","NA","","49","2493"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","Boys","All pupils","55","1395","NA","NA","59","1363","NA","NA","","57","2758"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","Boys","All pupils","48","1224","NA","NA","52","1141","NA","NA","","50","2365"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","Boys","All pupils","48","1728","NA","NA","53","1679","NA","NA","","51","3407"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","Boys","All pupils","50","1597","NA","NA","54","1805","NA","NA","","52","3402"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","Boys","All pupils","45","1048","NA","NA","50","1040","NA","NA","","47","2088"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","Boys","All pupils","43","2923","NA","NA","49","2936","NA","NA","","46","5859"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","Boys","All pupils","50","1295","NA","NA","53","1229","NA","NA","","52","2524"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","Boys","All pupils","45","1535","NA","NA","49","1491","NA","NA","","47","3026"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","50","1673","NA","NA","54","1673","NA","NA","","52","3346"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","47","1119","NA","NA","48","1136","NA","NA","","48","2255"
