"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All other ","49","190070","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All other ","49","177753","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All other ","54","768","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All other ","31","26","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All other ","19","377","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All other ","48","11146","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All other ","50","9414","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","All other ","46","2798","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","All other ","49","1079","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","All other ","55","2180","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","All other ","51","3357","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","All other ","52","21835","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","All other ","56","6782","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","All other ","48","8163","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","All other ","51","2972","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","All other ","53","3918","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","All other ","47","10594","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","All other ","44","2710","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","All other ","49","6594","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","All other ","45","1290","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","England","Country","E92000001","Boys","All other ","60","966","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","England","Country","E92000001","Boys","All other ","49","3182","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","England","Country","E92000001","Boys","All other ","43","2465","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","England","Country","E92000001","Boys","All other ","49","238526","NA","NA","","Non-FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","England","Country","E92000001","Girls","All other ","54","183098","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","England","Country","E92000001","Girls","All other ","54","171125","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Girls","All other ","59","793","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Girls","All other ","38","23","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Girls","All other ","22","400","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Girls","All other ","53","10757","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","England","Country","E92000001","Girls","All other ","55","9214","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Girls","All other ","52","2742","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Girls","All other ","54","1079","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Girls","All other ","58","2177","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Girls","All other ","56","3216","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","England","Country","E92000001","Girls","All other ","56","20365","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Girls","All other ","59","6222","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Girls","All other ","52","7735","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Girls","All other ","55","2886","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Girls","All other ","59","3522","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","England","Country","E92000001","Girls","All other ","53","10786","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Girls","All other ","50","2817","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","England","Country","E92000001","Girls","All other ","54","6669","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Girls","All other ","52","1300","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","England","Country","E92000001","Girls","All other ","65","930","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","England","Country","E92000001","Girls","All other ","54","2913","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","England","Country","E92000001","Girls","All other ","49","2329","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","England","Country","E92000001","Girls","All other ","54","229635","NA","NA","","Non-FSM Girls"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","England","Country","E92000001","Boys","eligible for free school meals","34","25284","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","eligible for free school meals","34","23654","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","eligible for free school meals","38","115","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","eligible for free school meals","25","41","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","eligible for free school meals","19","157","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","eligible for free school meals","41","1317","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","eligible for free school meals","39","2121","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","eligible for free school meals","36","816","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","eligible for free school meals","41","275","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","eligible for free school meals","41","362","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","eligible for free school meals","40","668","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","eligible for free school meals","45","4724","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","eligible for free school meals","47","539","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","eligible for free school meals","42","2396","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","eligible for free school meals","48","1267","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","eligible for free school meals","47","522","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","eligible for free school meals","41","3317","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","eligible for free school meals","36","838","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","eligible for free school meals","43","2075","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","eligible for free school meals","39","404","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","England","Country","E92000001","Boys","eligible for free school meals","56","67","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","England","Country","E92000001","Boys","eligible for free school meals","44","1060","NA","NA","","FSM Boys"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","England","Country","E92000001","Boys","eligible for free school meals","34","507","NA","NA","","FSM Boys"
