"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","49","4979","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","48","1139","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","50","1913","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","47","1068","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","46","1464","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","49","2393","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","51","1945","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","48","3198","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","48","1620","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","49","1535","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","50","1994","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","48","2828","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","50","1754","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","44","1331","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","49","3240","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bury","Local Authority","E08000002","All pupils","All pupils","51","2060","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Cheshire East","Local Authority","E06000049","All pupils","All pupils","52","3740","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","51","3443","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Cumbria","Local Authority","E10000006","All pupils","All pupils","49","5134","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Halton","Local Authority","E06000006","All pupils","All pupils","49","1373","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Knowsley","Local Authority","E08000011","All pupils","All pupils","39","1147","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Lancashire","Local Authority","E10000017","All pupils","All pupils","50","12106","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Liverpool","Local Authority","E08000012","All pupils","All pupils","47","4611","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Manchester","Local Authority","E08000003","All pupils","All pupils","47","4715","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Oldham","Local Authority","E08000004","All pupils","All pupils","46","2920","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Rochdale","Local Authority","E08000005","All pupils","All pupils","48","2315","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Salford","Local Authority","E08000006","All pupils","All pupils","47","2084","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Sefton","Local Authority","E08000014","All pupils","All pupils","49","3076","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","St. Helens","Local Authority","E08000013","All pupils","All pupils","49","1767","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Stockport","Local Authority","E08000007","All pupils","All pupils","52","2816","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Tameside","Local Authority","E08000008","All pupils","All pupils","49","2493","NA","NA"
