"Title","EBacc achievement by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All","All pupils","24","422763"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","All","All pupils","23","395316"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All","All pupils","35","1774"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All","All pupils","3","122"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All","All pupils","1","1107"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All","All pupils","28","24444"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All","All pupils","27","22868"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","18","7160"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All","All pupils","26","2687"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All","All pupils","35","5089"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All","All pupils","30","7932"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All","All pupils","31","51218"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All","All pupils","41","14046"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All","All pupils","22","20434"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All","All pupils","29","8319"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All","All pupils","38","8419"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All","All pupils","23","27924"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","16","7216"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","All","All pupils","26","17349"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All","All pupils","20","3359"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All","All pupils","52","2026"
"Percentage achieving the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","All","All pupils","31","8119"
"Percentage achieving the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","All","All pupils","21","5771"
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","All","All pupils","25","540689"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All pupils","19","215354"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All pupils","19","201407"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All pupils","29","883"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All pupils","!","67"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All pupils","!","534"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All pupils","24","12463"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All pupils","22","11535"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","All pupils","13","3614"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","All pupils","21","1354"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","All pupils","30","2542"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","All pupils","25","4025"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","All pupils","25","26559"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","All pupils","35","7321"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","All pupils","17","10559"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","All pupils","23","4239"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","All pupils","30","4440"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","All pupils","16","13911"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","All pupils","10","3548"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","All pupils","19","8669"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","All pupils","14","1694"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","Boys","All pupils","44","1033"
"Percentage achieving the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","Boys","All pupils","26","4242"
"Percentage achieving the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","Boys","All pupils","17","2972"
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","Boys","All pupils","20","275606"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Girls","All pupils","29","207409"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Girls","All pupils","29","193909"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Girls","All pupils","40","891"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Girls","All pupils","!","55"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Girls","All pupils","!","573"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Girls","All pupils","33","11981"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Girls","All pupils","32","11333"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Girls","All pupils","22","3546"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Girls","All pupils","31","1333"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Girls","All pupils","41","2547"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Girls","All pupils","35","3907"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Girls","All pupils","38","24659"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Girls","All pupils","49","6725"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Girls","All pupils","29","9875"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Girls","All pupils","36","4080"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Girls","All pupils","47","3979"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Girls","All pupils","30","14013"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Girls","All pupils","22","3668"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Girls","All pupils","33","8680"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Girls","All pupils","27","1665"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","Girls","All pupils","60","993"
"Percentage achieving the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","Girls","All pupils","36","3877"
"Percentage achieving the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","Girls","All pupils","25","2799"
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","Girls","All pupils","30","265083"
