"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Boys-Value","Girls-Value"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","42","37","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","38","34","43"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","41","36","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36","31","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20","15","25"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","36","31","41"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","38","33","43"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","32","27","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29","23","36"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","35","27","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40","34","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","37","26","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","35","30","41"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","19","14","23"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","33","28","39"
