"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","All - England","Country","E92000001","All pupils","All pupils","40","537,808"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","42","4,979"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","38","1,139"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","41","1,913"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36","1,068"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20","1,464"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","36","2,393"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","38","1,945"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","32","3,198"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29","1,620"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","35","1,535"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40","1,994"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","37","2,828"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","35","1,754"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","19","1,331"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","33","3,240"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","48","2,060"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","39","3,740"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","47","3,443"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","37","5,134"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","58","1,373"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","24","1,147"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","33","12,106"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","40","4,611"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","36","4,715"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","25","2,920"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","26","2,315"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","46","2,084"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","43","3,076"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","37","1,767"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","46","2,816"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","31","2,493"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","47","2,758"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","38","2,365"
