"Title","EBacc entry by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All","All pupils","38","422,763"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","All","All pupils","38","395,316"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All","All pupils","50","1,774"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All","All pupils","12","122"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All","All pupils","5","1,107"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All","All pupils","45","24,444"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All","All pupils","42","22,868"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","33","7,160"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All","All pupils","42","2,687"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All","All pupils","50","5,089"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All","All pupils","46","7,932"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All","All pupils","47","51,218"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All","All pupils","56","14,046"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All","All pupils","39","20,434"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All","All pupils","46","8,319"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All","All pupils","53","8,419"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All","All pupils","43","27,924"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","36","7,216"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","All","All pupils","47","17,349"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All","All pupils","40","3,359"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All","All pupils","63","2,026"
"Percentage entering the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","All","All pupils","49","8,119"
"Percentage entering the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","All","All pupils","34","5,771"
"Percentage entering the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","All","All pupils","40","540,689"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All pupils","33","215,354"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All pupils","33","201,407"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All pupils","44","883"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All pupils","8","67"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All pupils","4","534"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All pupils","41","12,463"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All pupils","37","11,535"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","All pupils","28","3,614"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","All pupils","37","1,354"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","All pupils","44","2,542"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","All pupils","42","4,025"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","All pupils","41","26,559"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","All pupils","50","7,321"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","All pupils","32","10,559"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","All pupils","41","4,239"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","All pupils","47","4,440"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","All pupils","36","13,911"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","All pupils","28","3,548"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","All pupils","40","8,669"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","All pupils","32","1,694"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","Boys","All pupils","56","1,033"
"Percentage entering the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","Boys","All pupils","43","4,242"
"Percentage entering the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","Boys","All pupils","29","2,972"
"Percentage entering the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","Boys","All pupils","34","275,606"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Girls","All pupils","43","207,409"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Girls","All pupils","43","193,909"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Girls","All pupils","55","891"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Girls","All pupils","18","55"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Girls","All pupils","6","573"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Girls","All pupils","51","11,981"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Girls","All pupils","47","11,333"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Girls","All pupils","38","3,546"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Girls","All pupils","47","1,333"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Girls","All pupils","56","2,547"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Girls","All pupils","51","3,907"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Girls","All pupils","54","24,659"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Girls","All pupils","63","6,725"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Girls","All pupils","46","9,875"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Girls","All pupils","52","4,080"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Girls","All pupils","61","3,979"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Girls","All pupils","50","14,013"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Girls","All pupils","44","3,668"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Girls","All pupils","54","8,680"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Girls","All pupils","47","1,665"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","Girls","All pupils","70","993"
"Percentage entering the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","Girls","All pupils","55","3,877"
"Percentage entering the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","Girls","All pupils","40","2,799"
"Percentage entering the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","Girls","All pupils","45","265,083"
