"Title","EBacc entry by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","39","414528"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","43","22465"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","48","50515"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","44","27407"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","37","145402"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","40","8130"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","44","21499"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","42","11496"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","59","591"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Academies and free schools","40","268711"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Academies and free schools","45","14288"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Academies and free schools","51","28983"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Academies and free schools","45","15874"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Academies and free schools","65","1416"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Sponsored academies","27","64925"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Sponsored academies","36","3759"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Sponsored academies","40","7419"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Sponsored academies","41","6173"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Sponsored academies","54","277"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Converter academies","45","200260"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Converter academies","49","10292"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Converter academies","55","20958"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Converter academies","48","9482"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Converter academies","68","1127"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Free schools","43","1187"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Free schools","53","79"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Free schools","74","411"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Free schools","28","60"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Free schools","50","8"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","University technical colleges","13","1412"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","University technical colleges","!","108"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","University technical colleges","9","125"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","University technical colleges","!","130"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","University technical colleges","!","!"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Studio schools","4","927"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Studio schools","!","50"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Studio schools","6","70"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Studio schools","!","29"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Studio schools","!","!"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
