"Title","A* to C in English and Maths GCSE by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","[Key stage 4 attainment data](https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All","All pupils","63"," 422,763 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All","All pupils","63"," 395,316 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All","All pupils","72"," 1,774 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All","All pupils","21"," 122 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All","All pupils","10"," 1,107 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","59"," 24,444 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All","All pupils","63"," 22,868 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All","All pupils","54"," 7,160 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All","All pupils","62"," 2,687 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All","All pupils","72"," 5,089 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All","All pupils","65"," 7,932 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All","All pupils","67"," 51,218 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All","All pupils","77"," 14,046 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All","All pupils","58"," 20,434 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All","All pupils","67"," 8,319 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","73"," 8,419 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All","All pupils","59"," 27,924 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All","All pupils","51"," 7,216 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All","All pupils","63"," 17,349 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All","All pupils","55"," 3,359 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All","All pupils","83"," 2,026 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","62"," 8,119 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","All","All pupils","53"," 5,771 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","All","All pupils","63"," 540,689 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","All pupils","59"," 215,354 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","59"," 201,407 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","69"," 883 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","18"," 67 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","9"," 534 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","55"," 12,463 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","All pupils","58"," 11,535 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","49"," 3,614 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","57"," 1,354 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","68"," 2,542 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","62"," 4,025 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Boys","All pupils","64"," 26,559 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","74"," 7,321 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","55"," 10,559 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","65"," 4,239 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","68"," 4,440 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Boys","All pupils","53"," 13,911 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","44"," 3,548 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","58"," 8,669 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","49"," 1,694 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Boys","All pupils","78"," 1,033 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","58"," 4,242 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","48"," 2,972 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","Boys","All pupils","59"," 275,606 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Girls","All pupils","67"," 207,409 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","67"," 193,909 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","75"," 891 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","26"," 55 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","12"," 573 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","63"," 11,981 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Girls","All pupils","67"," 11,333 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","59"," 3,546 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","66"," 1,333 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","76"," 2,547 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","69"," 3,907 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Girls","All pupils","71"," 24,659 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","81"," 6,725 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","62"," 9,875 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","70"," 4,080 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","78"," 3,979 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Girls","All pupils","65"," 14,013 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","58"," 3,668 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","68"," 8,680 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","62"," 1,665 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Girls","All pupils","88"," 993 ","NA","NA",""
