"Title","EBacc entry by ethnicity and gender"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage entering the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All","All pupils","38"," 422,763 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All","All pupils","38"," 395,316 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All","All pupils","50"," 1,774 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All","All pupils","12"," 122 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All","All pupils","5"," 1,107 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","45"," 24,444 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All","All pupils","42"," 22,868 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All","All pupils","33"," 7,160 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All","All pupils","42"," 2,687 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All","All pupils","50"," 5,089 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All","All pupils","46"," 7,932 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All","All pupils","47"," 51,218 ","NA","NA",""
