"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","42","4979","NA","NA","","37","2492","47","2487"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","38","1139","NA","NA","","34","591","43","548"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","41","1913","NA","NA","","36","1009","46","904"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36","1068","NA","NA","","31","523","42","545"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20","1464","NA","NA","","15","711","25","753"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","36","2393","NA","NA","","31","1216","41","1177"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","38","1945","NA","NA","","33","995","43","950"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","32","3198","NA","NA","","27","1639","38","1559"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29","1620","NA","NA","","23","828","36","792"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","35","1535","NA","NA","","27","748","42","787"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40","1994","NA","NA","","34","1066","48","928"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","37","2828","NA","NA","","26","1463","48","1365"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","35","1754","NA","NA","","30","897","41","857"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","19","1331","NA","NA","","14","657","23","674"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","33","3240","NA","NA","","28","1718","39","1522"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","48","2060","NA","NA","","46","1057","51","1003"
