"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","51","373168","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","52","348878","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","57","1561","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","35","49","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","20","777","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","50","21903","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","53","18628","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","49","5540","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","52","2158","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","56","4357","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","54","6573","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","54","42200","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","58","13004","NA","NA",""
