"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All","All pupils","50","422763","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All","All pupils","50","395316","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All","All pupils","55","1774","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All","All pupils","29","122","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All","All pupils","20","1107","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","50","24444","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All","All pupils","51","22868","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All","All pupils","46","7160","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All","All pupils","50","2687","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All","All pupils","55","5089","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All","All pupils","52","7932","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All","All pupils","53","51218","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All","All pupils","57","14046","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All","All pupils","49","20434","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All","All pupils","52","8319","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","55","8419","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All","All pupils","49","27924","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All","All pupils","45","7216","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All","All pupils","50","17349","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All","All pupils","47","3359","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All","All pupils","62","2026","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All","All pupils","50","8119","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","All","All pupils","44","5771","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All pupils","England","Country","E92000001","All","All pupils","50","540689","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","All pupils","48","215354","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","48","201407","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","52","883","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","27","67","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","19","534","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","47","12463","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","All pupils","48","11535","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","43","3614","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","48","1354","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","53","2542","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","50","4025","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Boys","All pupils","50","26559","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","55","7321","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","46","10559","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","50","4239","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","52","4440","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Boys","All pupils","46","13911","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","42","3548","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","48","8669","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","43","1694","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Boys","All pupils","60","1033","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","48","4242","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Boys","All pupils","41","2972","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All pupils","England","Country","E92000001","Boys","All pupils","48","275606","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Girls","All pupils","52","207409","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","52","193909","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","57","891","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","32","55","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","22","573","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","52","11981","NA","NA",""
