"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, religion of school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Boys-Notes","Girls-Value","Girls-Denominator","Girls-Notes"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No religious character","50","343946","NA","NA","","48","174264","","52","169682",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No religious character","51","17889","NA","NA","","49","8942","","53","8947",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No religious character","53","43374","NA","NA","","51","22332","","55","21042",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No religious character","49","19147","NA","NA","","46","9576","","51","9571",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No religious character","63","1641","NA","NA","","61","843","","65","798",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Church of England schools","51","22465","NA","NA","","50","11327","","53","11138",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Church of England schools","52","1361","NA","NA","","51","700","","53","661",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Church of England schools","54","2058","NA","NA","","53","1212","","56","846",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Church of England schools","51","2402","NA","NA","","48","1157","","53","1245",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Church of England schools","65","141","NA","NA","","64","72","","66","69",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","52","38676","NA","NA","","51","18915","","54","19761",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","53","2634","NA","NA","","51","1273","","55","1361",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","54","3435","NA","NA","","52","1818","","57","1617",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","52","5100","NA","NA","","50","2374","","55","2726",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","61","157","NA","NA","","58","68","","63","89",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","50","8522","NA","NA","","48","4411","","51","4111",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","54","544","NA","NA","","54","305","","53","239",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","60","837","NA","NA","","59","480","","61","357",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","50","711","NA","NA","","47","406","","53","305",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","64","67","NA","NA","","60","37","","69","30",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Jewish schools","60","918","NA","NA","","59","422","","60","496",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Jewish schools","61","27","NA","NA","","58","12","","63","15",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Jewish schools","60","37","NA","NA","","58","20","","61","17",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Jewish schools","56","13","NA","NA","","58","7","","53","6",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Jewish schools","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Muslim schools","x","x","NA","NA","Suppressed",".","0","Not applicable","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Muslim schools","49","9","NA","NA","","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Muslim schools","59","614","NA","NA","","58","149","","60","465",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Muslim schools","55","34","NA","NA","","56","10","","54","24",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Muslim schools",".","0","NA","NA","Not applicable",".","0","Not applicable",".","0","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","414528","NA","NA","","49","209339","","53","205189",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","22465","NA","NA","","49","11233","","53","11232",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","53","50515","NA","NA","","51","26098","","55","24417",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","50","27407","NA","NA","","47","13530","","52","13877",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008","NA","NA","","61","1021","","65","987",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No religious character","51","435878","NA","NA","","49","221063","","53","214815",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Church of England schools","52","29270","NA","NA","","50","14924","","53","14346",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","53","51329","NA","NA","","51","25100","","55","26229",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","51","11052","NA","NA","","50","5856","","52","5196",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Jewish schools","60","1318","NA","NA","","60","625","","61","693",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Muslim schools","59","672","NA","NA","","58","165","","59","507",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sikh school","58","176","NA","NA","","57","92","","59","84",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","530580","NA","NA","","49","268280","","53","262300",""
