"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","63"," 4,846 ","NA","NA","","60"," 2,430 ","","66"," 2,416 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","62"," 1,086 ","NA","NA","","60"," 566 ","","64"," 520 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","64"," 1,810 ","NA","NA","","62"," 949 ","","67"," 861 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","55"," 1,036 ","NA","NA","","49"," 505 ","","61"," 531 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","53"," 1,164 ","NA","NA","","50"," 564 ","","57"," 600 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","62"," 1,913 ","NA","NA","","59"," 959 ","","65"," 954 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","68"," 1,833 ","NA","NA","","65"," 944 ","","71"," 889 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","61"," 3,100 ","NA","NA","","58"," 1,586 ","","64"," 1,514 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","61"," 1,567 ","NA","NA","","59"," 803 ","","63"," 764 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","63"," 1,421 ","NA","NA","","58"," 691 ","","67"," 730 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","64"," 1,842 ","NA","NA","","60"," 983 ","","68"," 859 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","59"," 2,677 ","NA","NA","","54"," 1,405 ","","63"," 1,272 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","61"," 922 ","NA","NA","","55"," 452 ","","66"," 470 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","48"," 1,270 ","NA","NA","","45"," 624 ","","50"," 646 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bolton","Local Authority","E08000001","All pupils","All pupils","58"," 2,354 ","NA","NA","","51"," 1,243 ","","64"," 1,111 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","63"," 1,636 ","NA","NA","","59"," 839 ","","67"," 797 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","68"," 3,509 ","NA","NA","","62"," 1,738 ","","73"," 1,771 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","65"," 3,283 ","NA","NA","","61"," 1,664 ","","69"," 1,619 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","63"," 4,987 ","NA","NA","","58"," 2,549 ","","68"," 2,438 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","60"," 1,335 ","NA","NA","","58"," 675 ","","62"," 660 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","39"," 1,103 ","NA","NA","","36"," 582 ","","42"," 521 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","64"," 10,512 ","NA","NA","","60"," 5,428 ","","69"," 5,084 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","57"," 3,919 ","NA","NA","","53"," 1,945 ","","61"," 1,974 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","51"," 2,312 ","NA","NA","","48"," 1,206 ","","55"," 1,106 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","58"," 1,901 ","NA","NA","","52"," 974 ","","64"," 927 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","58"," 1,601 ","NA","NA","","53"," 828 ","","63"," 773 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","52"," 1,832 ","NA","NA","","49"," 879 ","","55"," 953 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","61"," 2,896 ","NA","NA","","55"," 1,474 ","","68"," 1,422 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","61"," 1,675 ","NA","NA","","56"," 873 ","","65"," 802 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","66"," 2,463 ","NA","NA","","63"," 1,228 ","","69"," 1,235 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","63"," 2,078 ","NA","NA","","60"," 1,042 ","","66"," 1,036 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","75"," 2,118 ","NA","NA","","72"," 1,052 ","","77"," 1,066 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","64"," 2,216 ","NA","NA","","60"," 1,144 ","","67"," 1,072 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","63"," 3,271 ","NA","NA","","57"," 1,660 ","","68"," 1,611 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","66"," 3,222 ","NA","NA","","61"," 1,521 ","","70"," 1,701 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","59"," 2,018 ","NA","NA","","54"," 1,011 ","","64"," 1,007 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","54"," 2,979 ","NA","NA","","50"," 1,455 ","","57"," 1,524 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Calderdale","Local Authority","E08000033","All pupils","All pupils","67"," 2,021 ","NA","NA","","63"," 1,052 ","","71"," 969 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Doncaster","Local Authority","E08000017","All pupils","All pupils","59"," 2,808 ","NA","NA","","55"," 1,433 ","","64"," 1,375 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","67"," 3,222 ","NA","NA","","63"," 1,604 ","","71"," 1,618 ",""
