"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"All England apprenticeship starts","2002/03","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3510"
"All England apprenticeship starts","2002/03","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2560"
"All England apprenticeship starts","2002/03","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1770"
"All England apprenticeship starts","2002/03","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","157270"
"All England apprenticeship starts","2002/03","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1060"
"All England apprenticeship starts","2002/03","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1520"
"All England apprenticeship starts","2002/03","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","167700"
"All England apprenticeship starts","2002/03","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","166170"
"All England apprenticeship starts","2003/04","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4210"
"All England apprenticeship starts","2003/04","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2820"
"All England apprenticeship starts","2003/04","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2260"
"All England apprenticeship starts","2003/04","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","182140"
"All England apprenticeship starts","2003/04","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","670"
"All England apprenticeship starts","2003/04","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1460"
"All England apprenticeship starts","2003/04","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","193600"
"All England apprenticeship starts","2003/04","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","192100"
"All England apprenticeship starts","2004/05","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4660"
"All England apprenticeship starts","2004/05","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2920"
"All England apprenticeship starts","2004/05","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2460"
"All England apprenticeship starts","2004/05","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","176450"
"All England apprenticeship starts","2004/05","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","820"
"All England apprenticeship starts","2004/05","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1720"
"All England apprenticeship starts","2004/05","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","189000"
"All England apprenticeship starts","2004/05","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","187310"
"All England apprenticeship starts","2005/06","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4100"
"All England apprenticeship starts","2005/06","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2350"
"All England apprenticeship starts","2005/06","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2310"
"All England apprenticeship starts","2005/06","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","164120"
"All England apprenticeship starts","2005/06","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","750"
"All England apprenticeship starts","2005/06","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1340"
"All England apprenticeship starts","2005/06","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","175000"
"All England apprenticeship starts","2005/06","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","173630"
"All England apprenticeship starts","2006/07","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4680"
"All England apprenticeship starts","2006/07","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2430"
"All England apprenticeship starts","2006/07","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2660"
"All England apprenticeship starts","2006/07","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","172470"
"All England apprenticeship starts","2006/07","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","750"
"All England apprenticeship starts","2006/07","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1440"
"All England apprenticeship starts","2006/07","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","184400"
"All England apprenticeship starts","2006/07","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","182990"
"All England apprenticeship starts","2007/08","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6500"
"All England apprenticeship starts","2007/08","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3600"
"All England apprenticeship starts","2007/08","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3150"
"All England apprenticeship starts","2007/08","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","208230"
"All England apprenticeship starts","2007/08","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1000"
"All England apprenticeship starts","2007/08","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2290"
"All England apprenticeship starts","2007/08","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","224800"
