"Title","Pupils aged 16 to 18 achieving 3 A grades or better at A level by ethnicity"
"Location","England"
"Time period","2010/11 to 2015/16"
"Data source","A level attainment characteristics https://www.gov.uk/government/publications/a-level-attainment-by-pupil-characteristics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Time_type","Ethnicity","Ethnicity_type","Numerator ","Denominator","Value"
"2011","Year","All","DFE","!","!","13"
"2011","Year","Unmatched","DFE","11,931","42,710","28"
"2011","Year","Other","DFE","262","2,553","10"
"2011","Year","Asian Other","DFE","350","3,146","11"
"2011","Year","Bangladeshi","DFE","147","2,627","6"
"2011","Year","Indian","DFE","1,064","8,599","12"
"2011","Year","Pakistani","DFE","375","6,323","6"
"2011","Year","Black African","DFE","255","5,756","4"
"2011","Year","Black Caribbean","DFE","72","2,338","3"
"2011","Year","Black Other","DFE","31","895","4"
"2011","Year","Chinese","DFE","395","1,666","24"
"2011","Year","Mixed Other","DFE","294","2,450","12"
"2011","Year","Mixed White/Asian","DFE","255","1,668","15"
"2011","Year","Mixed White/Black African","DFE","63","673","9"
"2011","Year","Mixed White/Black Caribbean","DFE","102","1,792","6"
"2011","Year","Unclassified","DFE","418","3,393","12"
"2011","Year","White British","DFE","17,166","166,230","10"
"2011","Year","White Gypsy/Roma","DFE","!","26","!"
"2011","Year","White Irish","DFE","112","910","12"
"2011","Year","White Irish Traveller","DFE","0","11","0"
"2011","Year","White Other","DFE","771","6,407","12"
"2011","Year","White","DFE","!","173,584","!"
"2011","Year","Mixed","DFE","714","6,583","11"
"2011","Year","Asian","DFE","1,936","20,695","9"
"2011","Year","Black","DFE","358","8,989","4"
"2012","Year","All","DFE","!","!","13"
"2012","Year","Unmatched","DFE","11,791","43,866","27"
"2012","Year","Other","DFE","281","2,834","10"
"2012","Year","Asian Other","DFE","377","3,291","12"
"2012","Year","Bangladeshi","DFE","165","2,787","6"
"2012","Year","Indian","DFE","1,090","8,447","13"
"2012","Year","Pakistani","DFE","413","6,632","6"
"2012","Year","Black African","DFE","253","6,072","4"
"2012","Year","Black Caribbean","DFE","63","2,389","3"
"2012","Year","Black Other","DFE","27","954","3"
"2012","Year","Chinese","DFE","400","1,631","25"
"2012","Year","Mixed Other","DFE","318","2,818","11"
