"Title","Number of apprenticeships"
"Location","England"
"Time period","2002/03 - 2015/16"
"Data source","Apprenticeship participation and number of apprenticeship achievements and starts"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Apprenticeship participation","2008/09","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","13720"
"Apprenticeship participation","2008/09","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","7840"
"Apprenticeship participation","2008/09","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","6430"
"Apprenticeship participation","2008/09","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","410960"
"Apprenticeship participation","2008/09","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","1990"
"Apprenticeship participation","2008/09","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","3830"
"Apprenticeship participation","2008/09","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","444800"
"Apprenticeship participation","2009/10","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","14440"
"Apprenticeship participation","2009/10","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","10010"
"Apprenticeship participation","2009/10","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","7890"
"Apprenticeship participation","2009/10","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","452680"
"Apprenticeship participation","2009/10","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","2330"
"Apprenticeship participation","2009/10","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","3920"
"Apprenticeship participation","2009/10","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","491300"
"Apprenticeship participation","2010/11","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","24540"
"Apprenticeship participation","2010/11","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","17950"
"Apprenticeship participation","2010/11","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","11380"
"Apprenticeship participation","2010/11","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","602420"
"Apprenticeship participation","2010/11","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","4140"
"Apprenticeship participation","2010/11","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","5460"
"Apprenticeship participation","2010/11","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","665900"
"Apprenticeship participation","2011/12","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","31640"
"Apprenticeship participation","2011/12","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","25450"
"Apprenticeship participation","2011/12","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","14290"
"Apprenticeship participation","2011/12","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","722760"
"Apprenticeship participation","2011/12","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","5540"
"Apprenticeship participation","2011/12","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","6800"
"Apprenticeship participation","2011/12","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","806500"
"Apprenticeship participation","2012/13","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","32800"
"Apprenticeship participation","2012/13","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","28500"
"Apprenticeship participation","2012/13","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","16200"
"Apprenticeship participation","2012/13","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","776200"
"Apprenticeship participation","2012/13","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","6000"
"Apprenticeship participation","2012/13","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","9000"
"Apprenticeship participation","2012/13","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","868700"
"Apprenticeship participation","2013/14","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","34000"
"Apprenticeship participation","2013/14","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","27400"
"Apprenticeship participation","2013/14","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","17000"
"Apprenticeship participation","2013/14","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","758400"
"Apprenticeship participation","2013/14","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","5500"
