"Title","Percentage of apprenticeships by ethnic group"
"Location","England"
"Time period","2008/09 to 2015/16"
"Data source","Apprenticeship participation and number of apprenticeship achievements and starts"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Apprenticeship participation","2008/09","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.1","13720"
"Apprenticeship participation","2008/09","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8","7840"
"Apprenticeship participation","2008/09","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.4","6430"
"Apprenticeship participation","2008/09","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","92.4","410960"
"Apprenticeship participation","2008/09","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.4","1990"
"Apprenticeship participation","2008/09","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9","3830"
"Apprenticeship participation","2009/10","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.9","14440"
"Apprenticeship participation","2009/10","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.0","10010"
"Apprenticeship participation","2009/10","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.6","7890"
"Apprenticeship participation","2009/10","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","92.1","452680"
"Apprenticeship participation","2009/10","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.5","2330"
"Apprenticeship participation","2009/10","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8","3920"
"Apprenticeship participation","2010/11","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.7","24540"
"Apprenticeship participation","2010/11","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.7","17950"
"Apprenticeship participation","2010/11","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.7","11380"
"Apprenticeship participation","2010/11","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","90.5","602420"
"Apprenticeship participation","2010/11","Academic Year","Other Ethnic group","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.6","4140"
