"Title","Futher education participants by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Further education and skills https://www.gov.uk/government/statistical-data-sets/fe-data-library-further-education-and-skills"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Adult education students","2002/03","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","288230"
"Adult education students","2002/03","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","198310"
"Adult education students","2002/03","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","50220"
"Adult education students","2002/03","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","321540"
"Adult education students","2002/03","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","90410"
"Adult education students","2002/03","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3754600"
"Adult education students","2002/03","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","627170"
"Adult education students","2002/03","Academic Year","All","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4703310"
"Adult education students","2003/04","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","328880"
"Adult education students","2003/04","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","228550"
"Adult education students","2003/04","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","66730"
"Adult education students","2003/04","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","281060"
"Adult education students","2003/04","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","99110"
