"Title","Mathematics attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"London","Barking and Dagenham","E09000002","All","ONS 5","Boys","All/Boys/Girls","73","77"
"London","Barnet","E09000003","All","ONS 5","Boys","All/Boys/Girls","75","74"
"Yorkshire and The Humber","Barnsley","E08000016","All","ONS 5","Boys","All/Boys/Girls","68","74"
"South West","Bath and North East Somerset","E06000022","All","ONS 5","Boys","All/Boys/Girls","73","73"
"East","Bedford","E06000055","All","ONS 5","Boys","All/Boys/Girls","71","70"
"London","Bexley","E09000004","All","ONS 5","Boys","All/Boys/Girls","80","80"
"West Midlands","Birmingham","E08000025","All","ONS 5","Boys","All/Boys/Girls","66","69"
"North West","Blackburn with Darwen","E06000008","All","ONS 5","Boys","All/Boys/Girls","74","74"
"North West","Blackpool","E06000009","All","ONS 5","Boys","All/Boys/Girls","74","74"
"North West","Bolton","E08000001","All","ONS 5","Boys","All/Boys/Girls","72","72"
"South West","Bournemouth","E06000028","All","ONS 5","Boys","All/Boys/Girls","72","70"
"South East","Bracknell Forest","E06000036","All","ONS 5","Boys","All/Boys/Girls","77","74"
"Yorkshire and The Humber","Bradford","E08000032","All","ONS 5","Boys","All/Boys/Girls","69","72"
"London","Brent","E09000005","All","ONS 5","Boys","All/Boys/Girls","74","75"
"South East","Brighton and Hove","E06000043","All","ONS 5","Boys","All/Boys/Girls","74","73"
"South West","Bristol, City of","E06000023","All","ONS 5","Boys","All/Boys/Girls","69","72"
"London","Bromley","E09000006","All","ONS 5","Boys","All/Boys/Girls","79","79"
"South East","Buckinghamshire","E10000002","All","ONS 5","Boys","All/Boys/Girls","72","72"
"North West","Bury","E08000002","All","ONS 5","Boys","All/Boys/Girls","70","72"
"Yorkshire and The Humber","Calderdale","E08000033","All","ONS 5","Boys","All/Boys/Girls","64","67"
"East","Cambridgeshire","E10000003","All","ONS 5","Boys","All/Boys/Girls","71","72"
"London","Camden","E09000007","All","ONS 5","Boys","All/Boys/Girls","75","74"
"East","Central Bedfordshire","E06000056","All","ONS 5","Boys","All/Boys/Girls","74","77"
"North West","Cheshire East","E06000049","All","ONS 5","Boys","All/Boys/Girls","71","71"
"North West","Cheshire West and Chester","E06000050","All","ONS 5","Boys","All/Boys/Girls","68","71"
"London","City of London","E09000001","All","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","All","ONS 5","Boys","All/Boys/Girls","71","72"
"North East","County Durham","E06000047","All","ONS 5","Boys","All/Boys/Girls","73","77"
"West Midlands","Coventry","E08000026","All","ONS 5","Boys","All/Boys/Girls","69","70"
"London","Croydon","E09000008","All","ONS 5","Boys","All/Boys/Girls","73","75"
"North West","Cumbria","E10000006","All","ONS 5","Boys","All/Boys/Girls","65","68"
"North East","Darlington","E06000005","All","ONS 5","Boys","All/Boys/Girls","75","76"
"East Midlands","Derby","E06000015","All","ONS 5","Boys","All/Boys/Girls","63","66"
"East Midlands","Derbyshire","E10000007","All","ONS 5","Boys","All/Boys/Girls","72","74"
"South West","Devon","E10000008","All","ONS 5","Boys","All/Boys/Girls","69","71"
"Yorkshire and The Humber","Doncaster","E08000017","All","ONS 5","Boys","All/Boys/Girls","69","71"
"South West","Dorset","E10000009","All","ONS 5","Boys","All/Boys/Girls","68","68"
"West Midlands","Dudley","E08000027","All","ONS 5","Boys","All/Boys/Girls","70","74"
"London","Ealing","E09000009","All","ONS 5","Boys","All/Boys/Girls","72","72"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","All","ONS 5","Boys","All/Boys/Girls","73","76"
"South East","East Sussex","E10000011","All","ONS 5","Boys","All/Boys/Girls","74","77"
"London","Enfield","E09000010","All","ONS 5","Boys","All/Boys/Girls","71","73"
"East","Essex","E10000012","All","ONS 5","Boys","All/Boys/Girls","73","76"
"North East","Gateshead","E08000037","All","ONS 5","Boys","All/Boys/Girls","74","75"
"South West","Gloucestershire","E10000013","All","ONS 5","Boys","All/Boys/Girls","69","69"
"London","Greenwich","E09000011","All","ONS 5","Boys","All/Boys/Girls","81","83"
"London","Hackney","E09000012","All","ONS 5","Boys","All/Boys/Girls","80","84"
"North West","Halton","E06000006","All","ONS 5","Boys","All/Boys/Girls","64","64"
"London","Hammersmith and Fulham","E09000013","All","ONS 5","Boys","All/Boys/Girls","77","77"
"South East","Hampshire","E10000014","All","ONS 5","Boys","All/Boys/Girls","76","78"
"London","Haringey","E09000014","All","ONS 5","Boys","All/Boys/Girls","78","79"
"London","Harrow","E09000015","All","ONS 5","Boys","All/Boys/Girls","75","80"
"North East","Hartlepool","E06000001","All","ONS 5","Boys","All/Boys/Girls","70","73"
"London","Havering","E09000016","All","ONS 5","Boys","All/Boys/Girls","76","78"
"West Midlands","Herefordshire, County of","E06000019","All","ONS 5","Boys","All/Boys/Girls","75","74"
"East","Hertfordshire","E10000015","All","ONS 5","Boys","All/Boys/Girls","76","77"
"London","Hillingdon","E09000017","All","ONS 5","Boys","All/Boys/Girls","74","77"
"London","Hounslow","E09000018","All","ONS 5","Boys","All/Boys/Girls","79","79"
"South East","Isle of Wight","E06000046","All","ONS 5","Boys","All/Boys/Girls","72","73"
"South West","Isles of Scilly","E06000053","All","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Islington","E09000019","All","ONS 5","Boys","All/Boys/Girls","74","73"
"London","Kensington and Chelsea","E09000020","All","ONS 5","Boys","All/Boys/Girls","78","82"
"South East","Kent","E10000016","All","ONS 5","Boys","All/Boys/Girls","77","79"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","All","ONS 5","Boys","All/Boys/Girls","71","73"
"London","Kingston upon Thames","E09000021","All","ONS 5","Boys","All/Boys/Girls","76","74"
"Yorkshire and The Humber","Kirklees","E08000034","All","ONS 5","Boys","All/Boys/Girls","70","71"
"North West","Knowsley","E08000011","All","ONS 5","Boys","All/Boys/Girls","66","67"
"London","Lambeth","E09000022","All","ONS 5","Boys","All/Boys/Girls","75","77"
"North West","Lancashire","E10000017","All","ONS 5","Boys","All/Boys/Girls","72","73"
"Yorkshire and The Humber","Leeds","E08000035","All","ONS 5","Boys","All/Boys/Girls","64","65"
"East Midlands","Leicester","E06000016","All","ONS 5","Boys","All/Boys/Girls","65","67"
"East Midlands","Leicestershire","E10000018","All","ONS 5","Boys","All/Boys/Girls","72","72"
"London","Lewisham","E09000023","All","ONS 5","Boys","All/Boys/Girls","77","79"
"East Midlands","Lincolnshire","E10000019","All","ONS 5","Boys","All/Boys/Girls","69","73"
"North West","Liverpool","E08000012","All","ONS 5","Boys","All/Boys/Girls","61","64"
"East","Luton","E06000032","All","ONS 5","Boys","All/Boys/Girls","68","71"
"North West","Manchester","E08000003","All","ONS 5","Boys","All/Boys/Girls","69","72"
"South East","Medway","E06000035","All","ONS 5","Boys","All/Boys/Girls","74","77"
"London","Merton","E09000024","All","ONS 5","Boys","All/Boys/Girls","72","74"
"North East","Middlesbrough","E06000002","All","ONS 5","Boys","All/Boys/Girls","63","66"
"South East","Milton Keynes","E06000042","All","ONS 5","Boys","All/Boys/Girls","71","73"
"North East","Newcastle upon Tyne","E08000021","All","ONS 5","Boys","All/Boys/Girls","72","75"
"London","Newham","E09000025","All","ONS 5","Boys","All/Boys/Girls","77","81"
"East","Norfolk","E10000020","All","ONS 5","Boys","All/Boys/Girls","73","75"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","All","ONS 5","Boys","All/Boys/Girls","71","74"
"Yorkshire and The Humber","North Lincolnshire","E06000013","All","ONS 5","Boys","All/Boys/Girls","75","79"
"South West","North Somerset","E06000024","All","ONS 5","Boys","All/Boys/Girls","76","77"
"North East","North Tyneside","E08000022","All","ONS 5","Boys","All/Boys/Girls","75","75"
"Yorkshire and The Humber","North Yorkshire","E10000023","All","ONS 5","Boys","All/Boys/Girls","71","70"
"East Midlands","Northamptonshire","E10000021","All","ONS 5","Boys","All/Boys/Girls","69","71"
"North East","Northumberland","E06000057","All","ONS 5","Boys","All/Boys/Girls","75","78"
"East Midlands","Nottingham","E06000018","All","ONS 5","Boys","All/Boys/Girls","67","69"
"East Midlands","Nottinghamshire","E10000024","All","ONS 5","Boys","All/Boys/Girls","70","72"
"North West","Oldham","E08000004","All","ONS 5","Boys","All/Boys/Girls","63","66"
"South East","Oxfordshire","E10000025","All","ONS 5","Boys","All/Boys/Girls","71","71"
"East","Peterborough","E06000031","All","ONS 5","Boys","All/Boys/Girls","67","71"
"South West","Plymouth","E06000026","All","ONS 5","Boys","All/Boys/Girls","70","68"
"South West","Poole","E06000029","All","ONS 5","Boys","All/Boys/Girls","76","76"
"South East","Portsmouth","E06000044","All","ONS 5","Boys","All/Boys/Girls","68","73"
"South East","Reading","E06000038","All","ONS 5","Boys","All/Boys/Girls","72","75"
"London","Redbridge","E09000026","All","ONS 5","Boys","All/Boys/Girls","75","77"
"North East","Redcar and Cleveland","E06000003","All","ONS 5","Boys","All/Boys/Girls","73","78"
"London","Richmond upon Thames","E09000027","All","ONS 5","Boys","All/Boys/Girls","79","78"
"North West","Rochdale","E08000005","All","ONS 5","Boys","All/Boys/Girls","68","72"
"Yorkshire and The Humber","Rotherham","E08000018","All","ONS 5","Boys","All/Boys/Girls","69","73"
"East Midlands","Rutland","E06000017","All","ONS 5","Boys","All/Boys/Girls","78","78"
"North West","Salford","E08000006","All","ONS 5","Boys","All/Boys/Girls","72","74"
"West Midlands","Sandwell","E08000028","All","ONS 5","Boys","All/Boys/Girls","66","70"
"North West","Sefton","E08000014","All","ONS 5","Boys","All/Boys/Girls","72","75"
