"Title","Mathematics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"North East","County Durham","E06000047","White","ONS 5","All","All/Boys/Girls","75"
"North East","Darlington","E06000005","White","ONS 5","All","All/Boys/Girls","75"
"North East","Gateshead","E08000037","White","ONS 5","All","All/Boys/Girls","74"
"North East","Hartlepool","E06000001","White","ONS 5","All","All/Boys/Girls","72"
"North East","Middlesbrough","E06000002","White","ONS 5","All","All/Boys/Girls","65"
"North East","Newcastle upon Tyne","E08000021","White","ONS 5","All","All/Boys/Girls","73"
"North East","North Tyneside","E08000022","White","ONS 5","All","All/Boys/Girls","75"
"North East","Northumberland","E06000057","White","ONS 5","All","All/Boys/Girls","76"
"North East","Redcar and Cleveland","E06000003","White","ONS 5","All","All/Boys/Girls","76"
"North East","South Tyneside","E08000023","White","ONS 5","All","All/Boys/Girls","78"
"North East","Stockton-on-Tees","E06000004","White","ONS 5","All","All/Boys/Girls","76"
"North East","Sunderland","E08000024","White","ONS 5","All","All/Boys/Girls","76"
"North West","Blackburn with Darwen","E06000008","White","ONS 5","All","All/Boys/Girls","75"
"North West","Blackpool","E06000009","White","ONS 5","All","All/Boys/Girls","74"
"North West","Bolton","E08000001","White","ONS 5","All","All/Boys/Girls","73"
"North West","Bury","E08000002","White","ONS 5","All","All/Boys/Girls","72"
"North West","Cheshire East","E06000049","White","ONS 5","All","All/Boys/Girls","71"
"North West","Cheshire West and Chester","E06000050","White","ONS 5","All","All/Boys/Girls","69"
"North West","Cumbria","E10000006","White","ONS 5","All","All/Boys/Girls","66"
"North West","Halton","E06000006","White","ONS 5","All","All/Boys/Girls","64"
"North West","Knowsley","E08000011","White","ONS 5","All","All/Boys/Girls","66"
"North West","Lancashire","E10000017","White","ONS 5","All","All/Boys/Girls","73"
"North West","Liverpool","E08000012","White","ONS 5","All","All/Boys/Girls","62"
"North West","Manchester","E08000003","White","ONS 5","All","All/Boys/Girls","71"
"North West","Oldham","E08000004","White","ONS 5","All","All/Boys/Girls","69"
"North West","Rochdale","E08000005","White","ONS 5","All","All/Boys/Girls","71"
"North West","Salford","E08000006","White","ONS 5","All","All/Boys/Girls","75"
"North West","Sefton","E08000014","White","ONS 5","All","All/Boys/Girls","74"
"North West","St. Helens","E08000013","White","ONS 5","All","All/Boys/Girls","67"
"North West","Stockport","E08000007","White","ONS 5","All","All/Boys/Girls","73"
"North West","Tameside","E08000008","White","ONS 5","All","All/Boys/Girls","70"
"North West","Trafford","E08000009","White","ONS 5","All","All/Boys/Girls","78"
"North West","Warrington","E06000007","White","ONS 5","All","All/Boys/Girls","76"
"North West","Wigan","E08000010","White","ONS 5","All","All/Boys/Girls","74"
"North West","Wirral","E08000015","White","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","Barnsley","E08000016","White","ONS 5","All","All/Boys/Girls","71"
"Yorkshire and The Humber","Bradford","E08000032","White","ONS 5","All","All/Boys/Girls","69"
"Yorkshire and The Humber","Calderdale","E08000033","White","ONS 5","All","All/Boys/Girls","68"
"Yorkshire and The Humber","Doncaster","E08000017","White","ONS 5","All","All/Boys/Girls","71"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","White","ONS 5","All","All/Boys/Girls","74"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","White","ONS 5","All","All/Boys/Girls","72"
"Yorkshire and The Humber","Kirklees","E08000034","White","ONS 5","All","All/Boys/Girls","72"
"Yorkshire and The Humber","Leeds","E08000035","White","ONS 5","All","All/Boys/Girls","66"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","White","ONS 5","All","All/Boys/Girls","72"
"Yorkshire and The Humber","North Lincolnshire","E06000013","White","ONS 5","All","All/Boys/Girls","77"
"Yorkshire and The Humber","North Yorkshire","E10000023","White","ONS 5","All","All/Boys/Girls","71"
