"Title","Phonics attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/2016"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","time_type","Ethnicity","Ethnicity type","Gender","Value","End of Year 2"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","All","ONS 18+1","Boys","77","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White","ONS 5+1","Boys","77","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - British","ONS 18+1","Boys","77","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Irish","ONS 18+1","Boys","78","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Traveller of Irish Heritage","ONS 18+1","Boys","35","57"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Gypsy/Roma","ONS 18+1","Boys","33","56"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Any other","ONS 18+1","Boys","75","87"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed","ONS 5+1","Boys","78","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Black Caribbean","ONS 18+1","Boys","73","87"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Black African","ONS 18+1","Boys","78","91"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Asian","ONS 18+1","Boys","82","93"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - Any other","ONS 18+1","Boys","80","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian","ONS 5+1","Boys","81","91"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Indian","ONS 18+1","Boys","87","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Pakistani","ONS 18+1","Boys","77","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Bangladeshi","ONS 18+1","Boys","78","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Any other","ONS 18+1","Boys","82","91"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black","ONS 5+1","Boys","78","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - Caribbean","ONS 18+1","Boys","74","88"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - African","ONS 18+1","Boys","80","90"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - Any other","ONS 18+1","Boys","75","87"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Chinese","ONS 18+1/ONS 5+1","Boys","86","92"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Other - Any other","ONS 18+1","Boys","76","88"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Unclassified","ONS 18+1","Boys","55","70"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","All","ONS 18+1","Girls","84","93"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White","ONS 5+1","Girls","84","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - British","ONS 18+1","Girls","85","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Irish","ONS 18+1","Girls","83","93"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Traveller of Irish Heritage","ONS 18+1","Girls","47","63"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Gypsy/Roma","ONS 18+1","Girls","41","64"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","White - Any other","ONS 18+1","Girls","82","91"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed","ONS 5+1","Girls","86","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Black Caribbean","ONS 18+1","Girls","83","93"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Black African","ONS 18+1","Girls","86","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - White and Asian","ONS 18+1","Girls","89","96"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Mixed - Any other","ONS 18+1","Girls","86","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian","ONS 5+1","Girls","87","95"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Indian","ONS 18+1","Girls","92","96"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Pakistani","ONS 18+1","Girls","85","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Bangladeshi","ONS 18+1","Girls","86","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Asian - Any other","ONS 18+1","Girls","88","95"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black","ONS 5+1","Girls","86","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - Caribbean","ONS 18+1","Girls","84","93"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - African","ONS 18+1","Girls","87","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Black - Any other","ONS 18+1","Girls","84","92"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Chinese","ONS 18+1/ONS 5+1","Girls","90","95"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Other - Any other","ONS 18+1","Girls","82","91"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity and gender","2015-2016","Year","Unclassified","ONS 18+1","Girls","61","76"
