"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Gender","Gender_type","Value","Value_girls"
"London","Barking and Dagenham","E09000002","White","Boys","All/Boys/Girls","66","72"
"London","Barking and Dagenham","E09000002","Mixed","Boys","All/Boys/Girls","71","84"
"London","Barking and Dagenham","E09000002","Asian","Boys","All/Boys/Girls","77","83"
"London","Barking and Dagenham","E09000002","Black","Boys","All/Boys/Girls","77","86"
"London","Barking and Dagenham","E09000002","Chinese","Boys","All/Boys/Girls","!","!"
"London","Barking and Dagenham","E09000002","All","Boys","All/Boys/Girls","71","79"
"London","Barnet","E09000003","White","Boys","All/Boys/Girls","76","80"
"London","Barnet","E09000003","Mixed","Boys","All/Boys/Girls","74","79"
"London","Barnet","E09000003","Asian","Boys","All/Boys/Girls","79","85"
"London","Barnet","E09000003","Black","Boys","All/Boys/Girls","70","80"
"London","Barnet","E09000003","Chinese","Boys","All/Boys/Girls","76","90"
"London","Barnet","E09000003","All","Boys","All/Boys/Girls","74","80"
"Yorkshire and The Humber","Barnsley","E08000016","White","Boys","All/Boys/Girls","65","76"
"Yorkshire and The Humber","Barnsley","E08000016","Mixed","Boys","All/Boys/Girls","83","79"
"Yorkshire and The Humber","Barnsley","E08000016","Asian","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Barnsley","E08000016","Black","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Barnsley","E08000016","Chinese","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Barnsley","E08000016","All","Boys","All/Boys/Girls","65","76"
"South West","Bath and North East Somerset","E06000022","White","Boys","All/Boys/Girls","71","78"
"South West","Bath and North East Somerset","E06000022","Mixed","Boys","All/Boys/Girls","67","76"
"South West","Bath and North East Somerset","E06000022","Asian","Boys","All/Boys/Girls","77","69"
"South West","Bath and North East Somerset","E06000022","Black","Boys","All/Boys/Girls","!","!"
"South West","Bath and North East Somerset","E06000022","Chinese","Boys","All/Boys/Girls","!","!"
"South West","Bath and North East Somerset","E06000022","All","Boys","All/Boys/Girls","70","78"
"East","Bedford","E06000055","White","Boys","All/Boys/Girls","70","75"
"East","Bedford","E06000055","Mixed","Boys","All/Boys/Girls","63","75"
"East","Bedford","E06000055","Asian","Boys","All/Boys/Girls","64","77"
"East","Bedford","E06000055","Black","Boys","All/Boys/Girls","66","84"
"East","Bedford","E06000055","Chinese","Boys","All/Boys/Girls","!","100"
"East","Bedford","E06000055","All","Boys","All/Boys/Girls","68","76"
