"Title","Reading attainments for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard","Average scaled score","Progress score"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","DFE","All","All/Boys/Girls","66","19","103","0"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","DFE","All","All/Boys/Girls","67","19","103","0"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","68","20","103","-0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","77","31","105","2.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","28","5","96","-1.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","21","2","94","-1.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","57","16","101","1.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","69","21","103","0.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","63","15","102","-0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","67","18","103","0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","74","27","104","0.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","70","23","104","0.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","63","16","102","-0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","71","22","104","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","56","11","100","-0.6"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","67","20","103","0.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","62","13","102","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","58","10","101","-0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","60","12","101","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","75","33","105","1.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other","DFE","All","All/Boys/Girls","58","13","101","0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unknown","DFE","All","All/Boys/Girls","55","16","102","0.2"
