"Title","Reading attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard","Average scaled score","Progress score"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","62","16","102","-0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","63","17","102","-0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","64","17","102","-0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","72","27","104","1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","26","3","95","-2.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","19","2","94","-1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","54","14","101","0.8"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","64","17","102","-0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","58","11","101","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","62","15","102","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","70","23","104","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","65","19","103","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","59","14","101","-0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","67","19","103","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","52","9","100","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","61","12","101","0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","64","18","102","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","58","11","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","53","8","100","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","60","12","101","0"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","56","9","100","-0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","71","29","104","0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","DFE","Boys","All/Boys/Girls","54","11","100","0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","Boys","All/Boys/Girls","52","14","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","DFE","Girls","All/Boys/Girls","70","22","103","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","71","22","104","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","72","23","104","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","82","36","107","2.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","31","6","97","-1.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","23","3","95","-1.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","60","19","102","1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","73","24","104","0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","70","18","103","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","72","21","104","1.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","78","30","105","1.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","74","27","105","1.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","67","18","103","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","75","25","105","0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","60","13","101","-0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","68","17","103","0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","70","22","104","0.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","66","15","102","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","63","13","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","68","17","103","0.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","79","36","106","1.8"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","DFE","Girls","All/Boys/Girls","62","15","102","0.9"
