"Title","Physical activity levels by ethnicity and area"
"Location","England"
"Time period","2015/16 "
"Data source","Active Lives Survey"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","","Asian","","Chinese","","Black","","Mixed","","White British","","White other","","Other",""
"Region","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"England","61","192,623","54","7,984","55","1,057","55","2,910","69","1,982","61","167,292","65","9,898","56","1,500"
"East Midlands","60","21,913","56","828","51","85","63","205","72","174","61","19,725","63","784","60","112"
"East","60","25,199","55","749","58","116","54","299","70","238","60","22,222","60","1,431","57","144"
"London","62","18,669","54","2,365","60","319","56","1,297","72","522","66","10,782","68","2,855","55","529"
"North East","59","8,837","56","152","?","49","?","30","70","51","59","8,305","66","211","?","39"
"North West","60","27,469","55","973","44","153","53","253","61","219","60","24,794","67","904","48","173"
"South East","63","35,153","59","1,219","57","176","66","317","73","369","63","30,877","63","1,945","53","250"
"South West","64","21,812","61","220","63","61","53","96","61","153","64","20,438","67","764","68","80"
"West Midlands","58","18,791","50","1,029","60","63","48","295","70","162","59","16,535","57","604","65","103"
"Yorkshire","60","14,780","55","449","?","35","43","118","58","94","60","13,614","64","400","60","70"
