"Title","Physical inactivity by ethnicity and socio-economic group"
"Location","England"
"Time period","2015/16"
"Data source","Active Lives Survey"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"NS SEC","Ethnicity","%","number of respondents"
"Managerial and professional occupations ","All","16","92,714"
"Managerial and professional occupations ","Asian","26","3,782"
"Managerial and professional occupations ","Chinese","21","578"
"Managerial and professional occupations ","Black","20","1,222"
"Managerial and professional occupations ","Mixed","12","987"
"Managerial and professional occupations ","White British","16","80,009"
"Managerial and professional occupations ","White Other","15","5,493"
"Managerial and professional occupations ","Other","22","643"
"Intermediate occupations and lower supervisory ","All","25","43,975"
"Intermediate occupations and lower supervisory ","Asian","33","1,421"
"Intermediate occupations and lower supervisory ","Chinese","40","188"
"Intermediate occupations and lower supervisory ","Black","30","579"
"Intermediate occupations and lower supervisory ","Mixed","23","350"
"Intermediate occupations and lower supervisory ","White British","24","39,178"
"Intermediate occupations and lower supervisory ","White Other","25","1,979"
"Intermediate occupations and lower supervisory ","Other","29","280"
"Routine and manual occupations ","All","32","18,318"
"Routine and manual occupations ","Asian","39","776"
"Routine and manual occupations ","Chinese","47","77"
"Routine and manual occupations ","Black","30","301"
"Routine and manual occupations ","Mixed","22","178"
"Routine and manual occupations ","White British","31","15,748"
"Routine and manual occupations ","White Other","34","1,082"
"Routine and manual occupations ","Other","31","156"
"Long-term unemployed ","All","36","3,830"
"Long-term unemployed ","Asian","40","546"
"Long-term unemployed ","Chinese","?","24"
"Long-term unemployed ","Black","35","162"
"Long-term unemployed ","Mixed","?","75"
"Long-term unemployed ","White British","35","2,753"
"Long-term unemployed ","White Other","38","160"
"Long-term unemployed ","Other","42","110"
"Full-time student or unclassified ","All","18","13,663"
"Full-time student or unclassified ","Asian","24","1,186"
"Full-time student or unclassified ","Chinese","28","172"
"Full-time student or unclassified ","Black","26","476"
"Full-time student or unclassified ","Mixed","18","337"
"Full-time student or unclassified ","White British","17","10,510"
"Full-time student or unclassified ","White Other","15","737"
"Full-time student or unclassified ","Other","27","245"
