"Title","Inpatient satisfaction with hospital care"
"Location","England"
"Time period","2013/14 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01774&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Unweighted Respondents","Value_type","Note"
"Patient experience of hospital care","2017-18","Year","All","All","England","78.4","69,151","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","All","All","England","78","73,358","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","All","All","England","76.7","73,358","average score","Uses 20 survey questions"
"Patient experience of hospital care","2015-16","Year","All","All","England","77.3","76,993","average score","Uses 20 survey questions"
"Patient experience of hospital care","2014-15","Year","All","All","England","76.6","55,292","average score","Uses 20 survey questions"
"Patient experience of hospital care","2013-14","Year","All","All","England","76.9","58,624","average score","Uses 20 survey questions"
"Patient experience of hospital care","2017-18","Year","Black African","ONS 2011 18+1","England","78.4","463","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Asian other","ONS 2011 18+1","England","79.8","279","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Black other","ONS 2011 18+1","England","74.7","67","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Any other ethnic group","ONS 2011 18+1","England","83.1","88","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Mixed other","ONS 2011 18+1","England","75.3","77","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","White other","ONS 2011 18+1","England","79.5","1,310","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Arab","ONS 2011 18+1","England","80.1","90","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Bangladeshi","ONS 2011 18+1","England","71.9","118","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Black Caribbean","ONS 2011 18+1","England","74.7","451","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Chinese","ONS 2011 18+1","England","80.6","152","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Indian","ONS 2011 18+1","England","76.7","951","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Pakistani","ONS 2011 18+1","England","75","460","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Mixed White/Asian","ONS 2011 18+1","England","76.6","156","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Mixed White/Black African","ONS 2011 18+1","England","78.4","68","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","78.8","166","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","White British","ONS 2011 18+1","England","78.6","63,614","average score","Uses 19 survey questions"
"Patient experience of hospital care","2017-18","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","!","25","average score","Uses 19 survey questions, data are suppressed as the group had less than 30 respondents"
"Patient experience of hospital care","2017-18","Year","White Irish","ONS 2011 18+1","England","81.4","616","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Black African","ONS 2011 18+1","England","77.3","453","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Asian other","ONS 2011 18+1","England","78","280","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Black other","ONS 2011 18+1","England","79.8","52","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Any other ethnic group","ONS 2011 18+1","England","77.8","59","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed other","ONS 2011 18+1","England","81.3","76","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","White other","ONS 2011 18+1","England","78.7","1,247","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Arab","ONS 2011 18+1","England","78.5","74","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Bangladeshi","ONS 2011 18+1","England","72.7","109","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Black Caribbean","ONS 2011 18+1","England","77.2","471","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Chinese","ONS 2011 18+1","England","75.2","153","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Indian","ONS 2011 18+1","England","76","943","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Pakistani","ONS 2011 18+1","England","75.2","531","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Asian","ONS 2011 18+1","England","75.8","164","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Black African","ONS 2011 18+1","England","79.4","75","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed White/Black Caribbean","ONS 2011 18+1","England","75.4","169","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","White British","ONS 2011 18+1","England","78.2","67,803","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","White Gypsy or Irish Traveller","ONS 2011 18+1","England","81.4","38","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","White Irish","ONS 2011 18+1","England","82.5","661","average score","Uses 19 survey questions"
"Patient experience of hospital care","2016-17","Year","Black African","ONS 2011 18+1","England","76.3","453","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Asian other","ONS 2011 18+1","England","77.4","280","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Black other","ONS 2011 18+1","England","78.6","52","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Any other ethnic group","ONS 2011 18+1","England","78","59","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","Mixed other","ONS 2011 18+1","England","80.6","76","average score","Uses 20 survey questions"
"Patient experience of hospital care","2016-17","Year","White other","ONS 2011 18+1","England","77.8","1,247","average score","Uses 20 survey questions"
