"Time","Ethnicity","%"
"2014","All","50.7"
"2014","Asian","52.8"
"2014","Black","53.7"
"2014","Chinese","51.3"
"2014","Mixed","50.1"
"2014","White","50.7"
"2014","Other","49.2"
"2015","All","52.4"
"2015","Asian","55.7"
"2015","Black","54.0"
"2015","Chinese","56.2"
"2015","Mixed","54.3"
"2015","White","52.5"
"2015","Other","50.2"
"2016","All","52.6"
"2016","Asian","55.8"
"2016","Black","53.8"
"2016","Chinese","56.5"
"2016","Mixed","54.0"
"2016","White","52.8"
"2016","Other","53.0"
