"Title","Drug dependency amongst adults"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"Gender","Ethnicity",""
"All","Asian","2.4"
"All","Black","7.5"
"All","Mixed other","1.9"
"All","White British","3.0"
"All","White other","2.1"
"Men","Asian","4.4"
"Men","Black","11.5"
"Men","Mixed other","2.7"
"Men","White British","4.0"
"Men","White other","2.1"
"Women","Asian","0.1"
"Women","Black","4.5"
"Women","Mixed other","1.1"
"Women","White British","1.9"
"Women","White other","2.1"
