"Title","Prevalence of screening positive for attention-deficit/hyperactivity disorder (ADHD) in the six months prior to the survey in adults, England, 2014"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Gender","Score","Value"
"Screen positive for ADHD","2014","Year","White - British","All","4 or more","10.2"
"Screen positive for ADHD","2014","Year","White - Other","All","4 or more","6.7"
"Screen positive for ADHD","2014","Year","Black","All","4 or more","13"
"Screen positive for ADHD","2014","Year","Asian","All","4 or more","8.9"
"Screen positive for ADHD","2014","Year","Mixed/Other","All","4 or more","7.2"
"Screen positive for ADHD","2014","Year","White - British","Men","4 or more","11"
"Screen positive for ADHD","2014","Year","White - Other","Men","4 or more","3.3"
"Screen positive for ADHD","2014","Year","Black","Men","4 or more","4.8"
"Screen positive for ADHD","2014","Year","Asian","Men","4 or more","7.9"
"Screen positive for ADHD","2014","Year","Mixed/Other","Men","4 or more","6.5"
"Screen positive for ADHD","2014","Year","White - British","Women","4 or more","9.4"
"Screen positive for ADHD","2014","Year","White - Other","Women","4 or more","9.7"
"Screen positive for ADHD","2014","Year","Black","Women","4 or more","19.3"
"Screen positive for ADHD","2014","Year","Asian","Women","4 or more","10.2"
"Screen positive for ADHD","2014","Year","Mixed/Other","Women","4 or more","7.9"
