"Year","Ethnicity",""
"2012","All","38.1"
"2012","Bangladeshi","35.2"
"2012","Chinese","32.9"
"2012","Indian","34.3"
"2012","Pakistani","36.1"
"2012","Asian other","34.9"
"2012","Black","35.4"
"2012","Mixed other","32.2"
"2012","White","38.5"
"2012","Other","30.2"
"2012","Arab","34.7"
"2012","Gypsy / Traveller / Irish Traveller","?"
"2013","All","39.2"
"2013","Bangladeshi","40.2"
"2013","Chinese","32.7"
"2013","Indian","34.8"
"2013","Pakistani","38.6"
"2013","Asian other","35.3"
"2013","Black","38.1"
"2013","Mixed other","42.1"
"2013","White","39.5"
"2013","Other","33.6"
"2013","Arab","28.5"
"2013","Gypsy / Traveller / Irish Traveller","?"
"2014","All","40.5"
"2014","Bangladeshi","42.6"
"2014","Chinese","35.0"
"2014","Indian","37.8"
"2014","Pakistani","39.0"
"2014","Asian other","39.4"
"2014","Black","41.0"
"2014","Mixed other","34.2"
"2014","White","40.7"
"2014","Other","37.6"
"2014","Arab","30.3"
"2014","Gypsy / Traveller / Irish Traveller","?"
"2015","All","41.0"
"2015","Bangladeshi","39.1"
"2015","Chinese","38.8"
"2015","Indian","38.2"
"2015","Pakistani","41.4"
"2015","Asian other","37.5"
"2015","Black","42.0"
"2015","Mixed other","32.3"
"2015","White","41.2"
"2015","Other","39.2"
"2015","Arab","30.5"
"2015","Gypsy / Traveller / Irish Traveller","?"
"2016","All","40.3"
"2016","Bangladeshi","39.4"
"2016","Chinese","38.3"
"2016","Indian","38.9"
"2016","Pakistani","36.7"
"2016","Asian other","39.2"
"2016","Black","40.8"
"2016","Mixed other","35.0"
"2016","White","40.5"
"2016","Other","39.1"
"2016","Arab","33.8"
"2016","Gypsy / Traveller / Irish Traveller","?"
