"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","2.81"
"Higher managerial and professional","Arab","3.25"
"Higher managerial and professional","Bangladeshi","2.98"
"Higher managerial and professional","Chinese","2.77"
"Higher managerial and professional","Indian","3.03"
"Higher managerial and professional","Pakistani","2.49"
"Higher managerial and professional","Asian other","3.27"
"Higher managerial and professional","Black","2.90"
"Higher managerial and professional","Mixed","2.92"
"Higher managerial and professional","White","2.78"
"Higher managerial and professional","White Gypsy/Traveller","?"
"Higher managerial and professional","Other","3.00"
"Lower managerial and professional","All","2.84"
"Lower managerial and professional","Arab","3.58"
"Lower managerial and professional","Bangladeshi","3.21"
"Lower managerial and professional","Chinese","3.10"
"Lower managerial and professional","Indian","2.91"
"Lower managerial and professional","Pakistani","2.92"
"Lower managerial and professional","Asian other","2.89"
"Lower managerial and professional","Black","2.70"
"Lower managerial and professional","Mixed","3.08"
"Lower managerial and professional","White","2.84"
"Lower managerial and professional","White Gypsy/Traveller","?"
"Lower managerial and professional","Other","2.97"
"Intermediate occupations","All","2.81"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Bangladeshi","3.15"
"Intermediate occupations","Chinese","3.05"
"Intermediate occupations","Indian","2.73"
"Intermediate occupations","Pakistani","2.70"
"Intermediate occupations","Asian other","2.57"
"Intermediate occupations","Black","2.78"
"Intermediate occupations","Mixed","3.30"
"Intermediate occupations","White","2.80"
"Intermediate occupations","White Gypsy/Traveller","?"
"Intermediate occupations","Other","2.96"
"Small employers and own account workers","All","2.73"
"Small employers and own account workers","Arab","?"
"Small employers and own account workers","Bangladeshi","2.65"
"Small employers and own account workers","Chinese","2.43"
"Small employers and own account workers","Indian","2.85"
"Small employers and own account workers","Pakistani","3.14"
"Small employers and own account workers","Asian other","3.16"
"Small employers and own account workers","Black","2.71"
"Small employers and own account workers","Mixed","3.50"
"Small employers and own account workers","White","2.71"
"Small employers and own account workers","White Gypsy/Traveller","?"
"Small employers and own account workers","Other","2.91"
"Lower supervisory and technical","All","2.64"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Bangladeshi","2.36"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","3.08"
"Lower supervisory and technical","Pakistani","3.21"
"Lower supervisory and technical","Asian other","2.92"
"Lower supervisory and technical","Black","2.81"
"Lower supervisory and technical","Mixed","2.95"
"Lower supervisory and technical","White","2.61"
"Lower supervisory and technical","White Gypsy/Traveller","?"
"Lower supervisory and technical","Other","2.58"
"Semi-routine occupations","All","2.82"
"Semi-routine occupations","Arab","?"
"Semi-routine occupations","Bangladeshi","3.13"
"Semi-routine occupations","Chinese","2.74"
"Semi-routine occupations","Indian","3.17"
"Semi-routine occupations","Pakistani","3.13"
"Semi-routine occupations","Asian other","2.83"
"Semi-routine occupations","Black","2.96"
"Semi-routine occupations","Mixed","2.96"
"Semi-routine occupations","White","2.80"
"Semi-routine occupations","White Gypsy/Traveller","?"
"Semi-routine occupations","Other","2.59"
"Routine occupations","All","2.75"
"Routine occupations","Arab","?"
"Routine occupations","Bangladeshi","2.86"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","2.84"
"Routine occupations","Pakistani","3.00"
"Routine occupations","Asian other","3.00"
"Routine occupations","Black","2.63"
"Routine occupations","Mixed","2.96"
"Routine occupations","White","2.75"
"Routine occupations","White Gypsy/Traveller","?"
"Routine occupations","Other","2.66"
"Never worked, unemployed, and nec","All","3.03"
"Never worked, unemployed, and nec","Arab","3.39"
"Never worked, unemployed, and nec","Bangladeshi","2.84"
"Never worked, unemployed, and nec","Chinese","2.62"
"Never worked, unemployed, and nec","Indian","2.86"
"Never worked, unemployed, and nec","Pakistani","3.04"
"Never worked, unemployed, and nec","Asian other","2.91"
"Never worked, unemployed, and nec","Black","2.92"
"Never worked, unemployed, and nec","Mixed","3.62"
"Never worked, unemployed, and nec","White","3.04"
"Never worked, unemployed, and nec","White Gypsy/Traveller","?"
"Never worked, unemployed, and nec","Other","3.20"
