"","2012","2013","2014","2015","2016","2017"
"","","","","","",""
"All","3.03","2.95","2.89","2.85","2.89","2.91"
"Arab","3.26","3.57","3.24","3.55","3.47","3.37"
"Bangladeshi","3.22","2.92","2.74","3.04","2.97","3.03"
"Chinese","3.04","2.87","3.00","2.73","2.72","3.09"
"Indian","3.21","3.07","2.93","2.97","2.91","3.01"
"Pakistani","3.27","3.14","3.07","2.81","2.99","2.91"
"Asian other","3.19","3.28","2.92","2.98","2.92","2.78"
"Black","3.18","3.14","2.94","2.78","2.88","3.06"
"Mixed","3.48","2.86","3.22","3.29","3.14","3.17"
"White","3.01","2.93","2.87","2.84","2.88","2.89"
"White Gypsy/Traveller","?","?","?","?","?","?"
"Other","3.45","3.28","3.00","2.86","2.93","3.07"
