"Title","Anxiety yesterday by ethnicity over time"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Year","Ethnicity",""
"2012","All","3.03"
"2012","Arab","3.26"
"2012","Bangladeshi","3.22"
"2012","Chinese","3.04"
"2012","Indian","3.21"
"2012","Pakistani","3.27"
"2012","Asian other","3.19"
"2012","Black","3.18"
"2012","Mixed","3.48"
"2012","White","3.01"
"2012","White Gypsy/Traveller","?"
"2012","Other","3.45"
"2013","All","2.95"
"2013","Arab","3.57"
"2013","Bangladeshi","2.92"
"2013","Chinese","2.87"
"2013","Indian","3.07"
"2013","Pakistani","3.14"
"2013","Asian other","3.28"
"2013","Black","3.14"
"2013","Mixed","2.86"
"2013","White","2.93"
"2013","White Gypsy/Traveller","?"
"2013","Other","3.28"
"2014","All","2.89"
"2014","Arab","3.24"
"2014","Bangladeshi","2.74"
"2014","Chinese","3.00"
"2014","Indian","2.93"
"2014","Pakistani","3.07"
"2014","Asian other","2.92"
"2014","Black","2.94"
"2014","Mixed","3.22"
"2014","White","2.87"
"2014","White Gypsy/Traveller","?"
"2014","Other","3.00"
"2015","All","2.85"
"2015","Arab","3.55"
"2015","Bangladeshi","3.04"
"2015","Chinese","2.73"
"2015","Indian","2.97"
"2015","Pakistani","2.81"
"2015","Asian other","2.98"
"2015","Black","2.78"
"2015","Mixed","3.29"
"2015","White","2.84"
"2015","White Gypsy/Traveller","?"
"2015","Other","2.86"
"2016","All","2.89"
"2016","Arab","3.47"
"2016","Bangladeshi","2.97"
"2016","Chinese","2.72"
"2016","Indian","2.91"
"2016","Pakistani","2.99"
"2016","Asian other","2.92"
"2016","Black","2.88"
"2016","Mixed","3.14"
"2016","White","2.88"
"2016","White Gypsy/Traveller","?"
"2016","Other","2.93"
"2017","All","2.91"
"2017","Arab","3.37"
"2017","Bangladeshi","3.03"
"2017","Chinese","3.09"
"2017","Indian","3.01"
"2017","Pakistani","2.91"
"2017","Asian other","2.78"
"2017","Black","3.06"
"2017","Mixed","3.17"
"2017","White","2.89"
"2017","White Gypsy/Traveller","?"
"2017","Other","3.07"
