"Title","Anxiety yesterday by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Ethnicity","Average score"
"All","2.91"
"Arab","3.37"
"Bangladeshi","3.03"
"Chinese","3.09"
"Indian","3.01"
"Pakistani","2.91"
"Asian other","2.78"
"Black","3.06"
"Mixed","3.17"
"White","2.89"
"White Gypsy/Traveller","?"
"Other","3.07"
